Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,42.22,383.82,33.93,3.73,10.04
2020-09-30,31.98,72.67,25.70,2.82,7.53
2020-06-30,36.29,58.53,26.16,3.14,8.61
2020-03-31,35.15,63.91,25.38,2.98,8.43
2019-12-31,44.59,71.91,30.29,3.88,10.99
2019-09-30,45.96,77.90,31.53,4.12,11.54
2019-06-30,42.25,74.12,29.83,4.03,10.69
2019-03-31,42.46,81.66,34.31,4.04,10.82
2018-12-31,36.70,49.60,33.73,3.46,9.44
2018-09-30,37.16,53.85,43.14,3.82,9.68
2018-06-30,34.20,50.30,49.12,3.31,9.05
2018-03-31,32.17,50.26,52.90,2.98,8.61
2017-12-31,34.49,80.22,64.28,3.26,9.31
2017-09-30,33.78,31.87,49.16,3.17,9.20
2017-06-30,34.34,31.21,43.57,3.17,9.42
2017-03-31,31.68,28.03,34.67,2.79,8.77
2016-12-31,31.61,29.27,32.24,2.73,8.79
2016-09-30,30.92,38.17,28.67,2.82,8.62
2016-06-30,31.46,41.40,34.11,2.85,8.92
2016-03-31,32.58,31.63,33.46,2.93,9.42
2015-12-31,31.53,24.83,34.94,2.85,9.22
2015-09-30,28.71,31.55,53.24,2.62,8.58
2015-06-30,26.45,25.93,50.77,2.40,7.98
2015-03-31,27.86,34.40,88.73,2.57,8.45
2014-12-31,25.03,41.72,145.35,2.33,7.74
2014-09-30,21.93,44.75,287.73,2.01,6.89
2014-06-30,22.83,67.14,0.00,2.14,7.30
2014-03-31,20.39,84.95,0.00,1.87,6.63
2013-12-31,18.25,107.33,0.00,1.63,6.03
2013-09-30,18.33,0.00,0.00,1.62,6.13
2013-06-30,19.53,0.00,0.00,1.71,6.57
2013-03-31,18.36,34.64,0.00,1.57,6.14
2012-12-31,17.88,20.09,0.00,1.49,5.88
2012-09-30,18.33,16.08,0.00,1.50,5.93
2012-06-30,18.92,17.05,0.00,1.52,6.03
2012-03-31,19.40,35.27,158.61,1.74,6.11
2011-12-31,18.07,903.31,75.78,1.71,5.71
2011-09-30,15.79,0.00,56.09,1.48,5.56
2011-06-30,17.38,0.00,41.66,1.87,5.85
2011-03-31,17.11,0.00,53.80,1.96,5.54
2010-12-31,16.38,0.00,62.15,1.86,5.04
2010-09-30,14.58,0.00,0.00,1.59,4.23
2010-06-30,13.09,0.00,0.00,1.55,3.70
2010-03-31,11.95,0.00,0.00,1.37,3.27
2009-12-31,11.01,0.00,0.00,1.22,2.90
2009-09-30,10.42,0.00,0.00,1.11,2.42
2009-06-30,6.71,0.00,0.00,0.67,1.51
2009-03-31,5.39,0.00,0.00,0.52,1.21
2008-12-31,8.63,1.63,0.00,0.84,2.01
2008-09-30,15.06,2.45,0.00,1.33,3.76
2008-06-30,12.70,1.88,0.00,1.07,3.28
2008-03-31,13.73,2.02,0.00,1.11,3.66
2007-12-31,10.93,7.14,0.00,1.55,2.90
2007-09-30,13.22,14.06,0.00,1.80,3.49
2007-06-30,14.12,17.65,0.00,1.96,3.47
2007-03-31,16.26,16.26,0.00,2.11,3.73
2006-12-31,16.72,19.67,0.00,2.14,3.57
