Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,107.02,10.49,4.96,1.51,0.81
2020-06-30,92.89,10.95,5.15,1.37,0.72
2020-03-31,99.08,12.10,10.08,1.53,0.77
2019-12-31,143.23,15.70,15.85,2.23,1.13
2019-09-30,148.30,18.47,16.50,2.38,1.19
2019-06-30,129.82,14.80,15.92,2.10,1.08
2019-03-31,133.07,15.66,18.63,2.16,1.14
2018-12-31,115.87,13.98,17.81,1.94,1.01
2018-09-30,126.99,14.27,17.56,2.14,1.13
2018-06-30,110.61,12.97,16.70,1.92,1.00
2018-03-31,117.43,14.59,19.49,2.10,1.08
2017-12-31,112.31,14.38,15.68,2.09,1.04
2017-09-30,109.82,15.09,21.78,2.11,1.04
2017-06-30,120.74,16.43,24.80,2.37,1.17
2017-03-31,122.97,16.78,15.53,2.48,1.21
2016-12-31,105.03,14.71,13.04,2.21,1.06
2016-09-30,121.56,17.12,13.27,2.64,1.25
2016-06-30,132.19,18.78,14.29,2.95,1.40
2016-03-31,122.85,17.68,14.36,2.74,1.33
2015-12-31,117.59,17.42,17.19,2.68,1.31
2015-09-30,122.73,18.26,15.62,2.88,1.39
2015-06-30,139.63,23.04,19.18,3.35,1.61
2015-03-31,115.58,20.03,16.05,2.89,1.37
2014-12-31,109.15,20.14,17.02,2.84,1.34
2014-09-30,102.42,20.69,16.84,2.77,1.30
2014-06-30,93.77,17.76,16.07,2.58,1.22
2014-03-31,80.32,15.15,14.67,2.30,1.07
2013-12-31,79.48,15.49,15.02,2.37,1.07
2013-09-30,73.30,13.88,15.12,2.28,1.00
2013-06-30,65.41,13.46,13.98,2.11,0.90
2013-03-31,62.34,14.07,12.60,2.12,0.87
2012-12-31,47.15,10.41,10.57,1.66,0.66
2012-09-30,44.16,10.72,13.89,1.61,0.63
2012-06-30,41.63,9.80,10.82,1.56,0.60
2012-03-31,40.37,9.64,11.92,1.58,0.59
2011-12-31,37.39,9.28,8.67,1.54,0.55
2011-09-30,32.67,9.53,8.17,1.39,0.54
2011-06-30,49.46,15.75,12.35,2.17,0.86
2011-03-31,47.38,17.11,14.96,2.16,0.88
2010-12-31,41.59,17.70,15.55,2.00,0.83
2010-09-30,37.18,14.35,18.99,1.82,0.69
2010-06-30,36.44,14.37,23.87,1.84,0.68
2010-03-31,33.48,12.47,19.93,1.57,0.63
2009-12-31,29.05,11.00,17.68,1.57,0.55
2009-09-30,29.44,11.85,16.95,1.47,0.57
2009-06-30,23.19,9.93,10.75,1.18,0.45
2009-03-31,18.18,8.87,11.07,0.97,0.36
2008-12-31,17.77,9.04,12.91,0.50,0.36
2008-09-30,26.45,14.10,16.94,1.71,0.55
2008-06-30,29.80,16.74,28.50,1.96,0.64
2008-03-31,25.28,14.61,28.73,1.73,0.56
2007-12-31,24.07,15.14,61.79,1.67,0.55
2007-09-30,25.54,16.69,0.00,1.79,0.61
2007-06-30,28.82,12.75,0.00,2.05,0.72
2007-03-31,26.80,11.68,0.00,1.98,0.71
2006-12-31,25.91,11.39,0.00,1.99,0.74
