Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,16.36,3.51,2.09,0.31,0.28
2020-06-30,15.86,3.38,2.20,0.31,0.28
2020-03-31,14.09,2.99,2.28,0.29,0.25
2019-12-31,27.10,5.17,3.57,0.55,0.48
2019-09-30,27.34,5.52,3.73,0.59,0.49
2019-06-30,30.60,12.29,4.02,0.68,0.56
2019-03-31,30.64,12.51,4.15,0.72,0.57
2018-12-31,26.41,11.14,4.17,0.66,0.50
2018-09-30,35.12,14.57,6.30,0.90,0.68
2018-06-30,33.03,6.84,6.74,0.76,0.65
2018-03-31,42.31,9.18,9.11,0.99,0.84
2017-12-31,48.58,11.09,10.43,1.13,0.98
2017-09-30,45.06,10.58,8.98,1.07,0.92
2017-06-30,40.90,9.85,8.45,0.99,0.85
2017-03-31,40.95,10.04,9.16,1.03,0.86
2016-12-31,38.20,9.65,8.70,0.98,0.82
2016-09-30,30.53,7.99,7.60,0.76,0.67
2016-06-30,27.32,7.51,6.36,0.70,0.61
2016-03-31,26.43,7.47,5.88,0.70,0.60
2015-12-31,28.27,8.08,5.88,0.79,0.66
2015-09-30,27.09,18.56,5.74,0.77,0.64
2015-06-30,30.05,20.03,6.77,0.87,0.72
2015-03-31,28.21,18.32,6.18,0.81,0.68
2014-12-31,29.02,18.37,6.71,0.86,0.71
2014-09-30,28.47,8.06,6.84,0.78,0.71
2014-06-30,28.65,8.33,6.53,0.79,0.72
2014-03-31,28.97,8.73,7.78,0.83,0.74
2013-12-31,28.65,8.87,8.23,0.86,0.74
2013-09-30,24.75,7.64,6.54,0.75,0.64
2013-06-30,23.77,7.22,6.24,0.75,0.62
2013-03-31,22.76,7.05,5.20,0.71,0.60
2012-12-31,16.68,5.26,3.69,0.52,0.45
2012-09-30,15.30,17.58,3.48,0.49,0.42
2012-06-30,15.12,20.71,3.78,0.50,0.43
2012-03-31,19.27,26.76,5.09,0.67,0.56
2011-12-31,16.51,23.25,4.57,0.59,0.49
2011-09-30,16.35,5.70,4.70,0.51,0.50
2011-06-30,19.79,6.92,5.42,0.66,0.61
2011-03-31,20.32,7.41,5.39,0.70,0.65
2010-12-31,18.68,6.89,5.11,0.66,0.60
2010-09-30,17.01,6.54,4.28,0.61,0.56
2010-06-30,16.60,6.43,4.25,0.61,0.55
2010-03-31,18.88,6.87,5.12,0.72,0.62
2009-12-31,14.82,5.79,3.98,0.58,0.49
2009-09-30,16.22,7.76,4.73,0.65,0.55
2009-06-30,11.94,6.83,3.24,0.53,0.41
2009-03-31,9.37,5.71,2.35,0.48,0.32
2008-12-31,13.87,8.67,3.57,0.72,0.48
2008-09-30,18.62,9.75,4.17,0.92,0.63
2008-06-30,15.12,7.17,2.90,0.68,0.51
2008-03-31,16.22,8.77,3.32,0.74,0.55
2007-12-31,17.47,9.15,3.55,0.78,0.59
2007-09-30,17.91,7.89,3.40,0.83,0.59
2007-06-30,19.05,12.21,4.74,0.93,0.62
2007-03-31,16.75,11.09,3.93,0.78,0.54
2006-12-31,15.06,12.34,3.52,0.67,0.47
