Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,290.01,35.67,8.81,4.61,2.48
2020-12-31,231.91,28.53,7.05,3.68,1.98
2020-09-30,174.50,13.83,5.25,3.03,1.49
2020-06-30,149.04,10.05,5.04,2.75,1.25
2020-03-31,102.90,6.71,4.94,2.04,0.85
2019-12-31,166.77,10.97,8.40,3.24,1.39
2019-09-30,124.64,8.59,5.52,2.59,1.08
2019-06-30,132.63,9.87,8.01,2.95,1.22
2019-03-31,114.25,8.66,7.13,2.67,1.12
2018-12-31,102.53,7.79,6.86,2.41,1.07
2018-09-30,163.60,8.26,16.52,4.00,1.80
2018-06-30,147.62,8.14,12.90,3.87,1.72
2018-03-31,172.73,10.42,16.21,4.74,2.10
2017-12-31,171.91,10.94,16.60,4.67,2.21
2017-09-30,138.74,19.65,13.63,5.31,1.91
2017-06-30,112.71,16.36,9.88,4.89,1.62
2017-03-31,125.05,18.50,10.60,6.03,1.87
2016-12-31,105.58,16.27,8.33,5.40,1.62
2016-09-30,78.49,12.08,5.64,4.32,1.23
2016-06-30,67.10,10.18,5.00,3.87,1.07
2016-03-31,62.19,10.45,5.39,3.70,1.02
2015-12-31,72.54,11.89,7.65,4.51,1.21
2015-09-30,60.05,9.73,8.52,3.72,1.02
2015-06-30,87.62,15.21,11.76,5.75,1.52
2015-03-31,91.16,15.77,12.60,5.91,1.62
2014-12-31,102.01,19.69,19.22,5.55,1.89
2014-09-30,111.10,24.10,15.02,6.11,2.15
2014-06-30,104.73,25.42,20.32,5.57,2.12
2014-03-31,94.94,23.74,23.64,5.08,2.00
2013-12-31,77.95,21.47,21.63,3.94,1.67
2013-09-30,58.29,21.43,76.46,3.14,1.23
2013-06-30,49.91,24.11,16.24,2.90,1.08
2013-03-31,54.97,83.29,51.46,3.25,1.17
2012-12-31,45.52,71.13,0.00,2.69,1.01
2012-09-30,32.71,51.92,0.00,1.98,0.77
2012-06-30,34.04,40.52,0.00,2.21,0.84
2012-03-31,42.89,23.31,0.00,21.54,1.16
2011-12-31,29.55,22.22,94.23,18.04,0.80
2011-09-30,16.84,28.54,27.11,19.18,0.46
2011-06-30,25.40,2540.00,16.45,66.27,0.71
2011-03-31,33.28,0.00,10.15,-70.33,0.94
2010-12-31,22.75,0.00,6.01,-68.96,0.65
2010-09-30,14.84,0.00,5.06,-59.89,0.43
2010-06-30,9.32,0.00,2.11,-11.28,0.26
2010-03-31,9.38,0.00,1.67,-11.81,0.25
2009-12-31,9.81,0.00,1.60,-31.06,0.25
2009-09-30,10.30,0.00,1.28,-34.41,0.25
2009-06-30,6.49,0.00,1.01,-8.48,0.15
2009-03-31,4.21,0.00,0.79,-4.52,0.10
2008-12-31,9.12,0.00,2.03,-18.84,0.24
2008-09-30,15.24,44.82,3.27,1.04,0.42
2008-06-30,19.61,57.68,4.22,1.20,0.59
2008-03-31,18.84,5.76,4.78,0.80,0.59
2007-12-31,18.36,5.72,9.49,0.79,0.56
2007-09-30,32.17,13.69,30.43,1.49,0.98
2007-06-30,32.54,14.66,17.27,1.65,0.99
2007-03-31,27.50,12.91,24.88,1.42,0.85
2006-12-31,25.43,12.47,11.17,1.34,0.79
