Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,35.53,11.76,11.36,1.01,2.10
2020-06-30,36.06,11.34,12.49,1.04,2.09
2020-03-31,33.35,8.64,8.71,0.96,1.91
2019-12-31,56.74,13.70,18.37,1.66,3.30
2019-09-30,52.58,12.12,11.09,1.53,3.07
2019-06-30,49.42,11.63,10.30,1.46,2.97
2019-03-31,45.12,10.80,7.06,1.37,2.79
2018-12-31,42.47,10.26,6.58,1.32,2.71
2018-09-30,48.67,12.14,10.28,1.55,3.21
2018-06-30,45.78,11.95,11.84,1.49,3.10
2018-03-31,45.94,12.55,16.20,1.52,3.20
2017-12-31,48.46,13.77,12.60,1.62,3.46
2017-09-30,48.20,14.30,9.33,1.63,3.55
2017-06-30,46.43,13.94,10.62,1.59,3.48
2017-03-31,45.81,13.84,10.79,1.60,3.47
2016-12-31,45.45,13.98,14.68,1.61,3.50
2016-09-30,37.74,11.69,11.43,1.33,2.93
2016-06-30,35.26,11.02,7.67,1.26,2.79
2016-03-31,35.26,11.12,7.50,1.29,2.87
2015-12-31,36.83,11.62,7.43,1.37,3.04
2015-09-30,35.19,11.14,8.78,1.35,2.93
2015-06-30,37.01,11.82,13.62,1.45,3.12
2015-03-31,37.03,11.91,15.41,1.47,3.12
2014-12-31,37.90,12.30,12.89,1.53,3.22
2014-09-30,35.08,11.50,8.85,1.44,3.03
2014-06-30,36.12,11.92,7.51,1.51,3.14
2014-03-31,35.53,11.80,5.21,1.51,3.13
2013-12-31,33.31,11.07,5.38,1.45,2.93
2013-09-30,29.99,10.10,4.38,1.32,2.62
2013-06-30,29.45,9.98,5.08,1.32,2.55
2013-03-31,27.47,9.47,7.91,1.25,2.36
2012-12-31,25.71,9.05,6.12,1.19,2.20
2012-09-30,27.44,9.77,10.58,1.30,2.34
2012-06-30,25.58,9.44,10.43,1.24,2.22
2012-03-31,25.04,9.63,7.17,1.29,2.21
2011-12-31,21.25,8.67,4.16,1.16,1.91
2011-09-30,18.41,8.18,3.16,1.03,1.68
2011-06-30,19.84,9.63,3.79,1.15,1.83
2011-03-31,20.46,10.71,4.59,1.26,1.90
2010-12-31,20.78,12.01,7.62,1.32,1.94
2010-09-30,16.63,10.80,4.97,1.06,1.57
2010-06-30,17.15,12.34,2.99,1.14,1.64
2010-03-31,19.81,18.69,4.37,1.39,1.89
2009-12-31,17.20,17.92,4.21,1.23,1.63
2009-09-30,16.67,20.58,5.71,1.23,1.59
2009-06-30,13.63,16.42,6.24,1.05,1.30
2009-03-31,11.08,8.94,3.24,0.70,1.04
2008-12-31,18.91,11.67,6.26,1.23,1.72
2008-09-30,26.76,13.38,9.55,2.17,2.37
2008-06-30,20.48,8.71,8.69,1.63,1.74
2008-03-31,23.41,9.48,11.66,1.89,1.97
2007-12-31,22.67,9.14,13.71,1.86,1.95
2007-09-30,22.93,8.78,15.09,1.91,2.00
2007-06-30,22.94,8.82,9.70,1.95,2.05
2007-03-31,24.06,9.22,10.50,2.02,2.20
2006-12-31,24.61,9.43,8.24,2.05,2.32
