Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,218.40,45.12,57.42,11.31,25.14
2020-09-30,199.36,40.85,50.93,10.68,22.66
2020-06-30,192.29,36.63,41.45,10.52,20.98
2020-03-31,160.11,28.85,33.68,9.02,16.81
2019-12-31,186.46,34.03,37.29,10.39,19.98
2019-09-30,170.40,32.03,35.83,9.70,18.79
2019-06-30,171.93,33.00,38.06,9.76,19.66
2019-03-31,154.50,31.92,33.27,9.01,18.26
2018-12-31,130.28,28.08,26.40,7.68,15.79
2018-09-30,147.94,33.55,31.30,8.81,18.61
2018-06-30,130.36,31.95,29.10,7.96,16.97
2018-03-31,117.54,29.83,27.02,7.06,15.94
2017-12-31,111.85,37.16,32.89,6.90,15.76
2017-09-30,103.06,36.81,31.72,6.53,14.94
2017-06-30,91.69,34.08,29.63,6.00,13.77
2017-03-31,86.73,43.37,45.83,5.93,13.76
2016-12-31,76.00,30.04,36.72,5.07,12.70
2016-09-30,80.39,32.55,42.62,5.21,14.24
2016-06-30,71.98,31.29,44.61,4.72,13.42
2016-03-31,74.08,26.27,32.24,5.52,14.00
2015-12-31,74.97,27.36,31.87,5.57,14.47
2015-09-30,67.23,26.13,29.63,4.99,13.21
2015-06-30,64.70,27.16,28.86,5.01,13.11
2015-03-31,62.91,28.15,29.18,4.97,13.18
2014-12-31,62.93,28.16,24.26,6.85,13.54
2014-09-30,51.12,23.75,21.47,4.19,11.93
2014-06-30,50.38,23.06,19.88,5.66,12.13
2014-03-31,51.52,24.39,21.35,5.82,13.45
2013-12-31,53.05,27.03,25.94,6.10,15.17
2013-09-30,45.44,23.98,51.60,5.28,13.42
2013-06-30,43.37,21.16,87.56,5.06,14.14
2013-03-31,40.23,44.95,159.53,4.75,13.76
2012-12-31,35.83,40.15,286.42,4.18,12.79
2012-09-30,31.67,40.47,26.35,3.72,11.74
2012-06-30,29.11,60.32,27.58,3.61,11.32
2012-03-31,27.73,18.18,25.53,3.17,11.19
2011-12-31,23.81,17.57,25.24,2.84,10.14
2011-09-30,20.06,15.55,23.30,2.46,9.00
2011-06-30,19.68,15.90,22.79,2.47,9.25
2011-03-31,17.16,15.29,21.51,2.18,8.49
2010-12-31,16.37,15.52,20.62,2.14,8.52
2010-09-30,17.24,17.20,30.82,2.30,9.42
2010-06-30,16.40,18.02,51.98,2.23,9.34
2010-03-31,21.07,23.15,197.29,2.95,12.82
2009-12-31,20.21,23.85,1347.58,2.90,12.97
2009-09-30,15.95,20.51,291.55,2.33,10.69
2009-06-30,14.35,29.13,92.25,2.13,10.31
2009-03-31,12.79,33.22,71.01,1.96,9.43
2008-12-31,12.04,39.48,258.97,1.88,9.75
