Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,175.01,57.95,36.93,7.15,5.14
2020-09-30,172.00,58.70,39.36,7.52,4.97
2020-06-30,122.52,39.91,42.17,5.73,3.51
2020-03-31,102.66,37.74,30.48,4.98,2.83
2019-12-31,142.01,44.24,47.07,6.93,3.94
2019-09-30,119.09,35.34,34.88,6.08,3.39
2019-06-30,136.13,37.19,41.53,7.05,3.98
2019-03-31,141.72,34.31,46.21,7.43,4.31
2018-12-31,113.31,28.61,28.84,6.14,3.51
2018-09-30,111.93,69.09,25.43,6.43,3.54
2018-06-30,113.72,90.98,24.80,6.93,3.70
2018-03-31,122.65,85.17,23.51,7.72,4.10
2017-12-31,111.15,88.92,23.10,7.32,3.82
2017-09-30,100.06,37.20,27.43,6.03,3.57
2017-06-30,103.19,33.94,26.80,6.79,3.92
2017-03-31,91.13,29.40,29.44,6.47,3.47
2016-12-31,79.58,22.67,26.07,4.30,3.12
2016-09-30,88.23,21.01,30.70,4.74,3.28
2016-06-30,72.89,18.45,27.17,4.06,3.18
2016-03-31,70.93,17.56,20.44,4.00,2.95
2015-12-31,71.62,17.55,19.32,4.21,2.85
2015-09-30,65.40,15.99,17.40,3.72,2.65
2015-06-30,74.75,18.14,17.98,4.27,2.47
2015-03-31,83.40,20.80,26.31,4.98,2.82
2014-12-31,76.68,19.97,20.17,4.76,2.60
2014-09-30,71.02,18.54,20.81,4.44,2.46
2014-06-30,73.70,18.95,24.10,4.43,2.62
2014-03-31,74.45,19.09,18.36,4.61,2.70
2013-12-31,68.87,17.05,21.86,4.27,2.53
2013-09-30,66.24,16.60,19.24,4.12,2.48
2013-06-30,59.79,14.98,16.12,3.83,2.27
2013-03-31,63.82,16.28,20.02,4.25,2.46
2012-12-31,62.26,16.21,16.08,4.32,2.46
2012-09-30,53.47,14.18,14.06,3.87,2.17
2012-06-30,53.87,15.13,15.88,4.08,2.24
2012-03-31,61.13,17.82,19.19,4.76,2.63
2011-12-31,59.51,17.76,21.03,4.94,2.66
2011-09-30,46.24,13.76,13.66,4.18,2.13
2011-06-30,62.07,18.47,17.60,5.00,2.97
2011-03-31,59.96,18.62,20.62,5.33,2.99
2010-12-31,61.41,19.87,19.56,5.01,3.17
2010-09-30,53.63,18.37,16.91,4.96,2.83
2010-06-30,46.34,16.43,16.79,4.07,2.46
2010-03-31,49.05,17.45,14.66,4.35,2.69
2009-12-31,41.53,15.85,17.37,3.81,2.31
2009-09-30,37.35,14.70,19.30,3.57,2.11
2009-06-30,31.15,13.03,19.63,3.18,1.81
2009-03-31,26.98,11.78,18.61,3.00,1.57
2008-12-31,31.06,13.45,15.59,3.70,1.85
2008-09-30,50.64,23.12,22.22,6.19,3.12
2008-06-30,45.96,21.08,17.18,6.03,2.98
2008-03-31,41.52,20.86,19.56,5.74,2.83
2007-12-31,46.24,24.46,22.16,6.72,3.31
2007-09-30,37.13,20.29,20.55,5.66,2.78
2007-06-30,37.68,20.48,28.93,5.91,2.92
2007-03-31,42.27,21.79,27.14,6.64,3.37
2006-12-31,42.17,22.31,24.39,6.80,3.45
