Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,80.40,0.00,34.50,10.02,3.61
2020-12-31,85.41,0.00,36.65,10.64,3.84
2020-09-30,69.86,0.00,27.29,9.25,3.10
2020-06-30,60.18,73.39,38.61,8.05,2.53
2020-03-31,53.01,31.74,36.16,6.14,2.03
2019-12-31,96.94,30.20,45.55,8.37,3.86
2019-09-30,86.11,26.82,34.26,7.39,3.41
2019-06-30,84.12,29.41,30.02,8.06,3.31
2019-03-31,83.19,26.49,23.00,7.68,3.25
2018-12-31,67.88,24.07,21.60,6.24,3.17
2018-09-30,88.33,53.21,0.00,8.39,6.61
2018-06-30,76.66,55.95,0.00,8.13,5.52
2018-03-31,69.32,55.90,0.00,0.00,4.88
2017-12-31,68.77,39.52,0.00,0.00,3.37
2017-09-30,58.70,33.74,0.00,5.88,2.88
2017-06-30,52.84,26.96,107.17,5.70,2.67
2017-03-31,50.03,27.64,0.00,4.66,2.55
2016-12-31,48.17,25.09,0.00,0.00,2.46
2016-09-30,50.24,26.17,108.71,4.27,2.57
2016-06-30,54.79,30.44,183.97,4.90,2.76
2016-03-31,57.36,27.58,0.00,4.89,2.87
2015-12-31,54.83,25.62,0.00,0.00,2.69
2015-09-30,59.74,27.91,0.00,4.75,2.94
2015-06-30,60.80,28.28,0.00,5.21,3.01
2015-03-31,65.36,30.98,0.00,5.66,3.26
2014-12-31,64.73,30.68,0.00,0.00,3.27
2014-09-30,56.82,26.93,0.00,4.18,2.87
2014-06-30,53.99,26.96,0.00,4.12,2.82
2014-03-31,52.81,27.05,0.00,3.98,2.84
2013-12-31,52.97,28.14,0.00,0.00,2.91
2013-09-30,42.10,22.36,88.44,3.28,2.31
2013-06-30,40.65,23.03,197.50,3.44,2.27
2013-03-31,35.15,19.47,0.00,3.02,1.99
2012-12-31,31.47,18.70,0.00,0.00,1.79
2012-09-30,33.03,19.63,0.00,2.95,1.88
2012-06-30,27.53,18.35,0.00,2.66,1.65
2012-03-31,29.96,20.77,0.00,2.94,1.87
2011-12-31,25.93,18.26,0.00,0.00,1.76
2011-09-30,24.69,17.39,0.00,2.44,1.67
2011-06-30,21.94,16.84,0.00,2.25,1.60
2011-03-31,19.77,15.69,0.00,2.09,1.50
2010-12-31,17.18,14.69,45.99,0.00,1.36
2010-09-30,16.04,13.71,20.75,1.76,1.27
2010-06-30,13.98,12.71,16.23,1.65,1.15
2010-03-31,15.61,15.31,41.79,1.80,1.31
2009-12-31,14.16,16.04,0.00,0.00,1.19
2009-09-30,13.89,15.74,35.18,1.60,1.17
2009-06-30,10.52,11.41,0.00,1.27,0.86
2009-03-31,10.75,10.89,0.00,1.33,0.85
2008-12-31,10.18,9.32,0.00,0.00,0.79
2008-09-30,14.22,13.02,0.00,1.62,1.11
2008-06-30,13.00,12.65,0.00,1.53,1.04
2008-03-31,14.04,14.44,0.00,1.67,1.16
2007-12-31,12.34,13.10,0.00,0.00,1.06
2007-09-30,14.40,12.21,66.93,1.88,1.24
2007-06-30,16.23,14.02,109.04,2.24,1.48
2007-03-31,14.55,12.15,0.00,1.99,1.37
2006-12-31,14.36,12.17,0.00,1.97,1.40
