Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,27.82,12.64,9.60,1.12,0.66
2020-06-30,22.97,11.21,16.70,0.97,0.53
2020-03-31,13.66,5.60,26.30,0.62,0.31
2019-12-31,40.33,6.94,28.37,1.87,0.89
2019-09-30,38.57,5.00,8.59,2.86,0.63
2019-06-30,47.48,5.82,11.49,3.75,0.81
2019-03-31,45.06,5.60,9.73,3.87,0.80
2018-12-31,41.29,8.02,8.24,2.41,0.76
2018-09-30,54.07,15.19,13.81,8.06,1.01
2018-06-30,52.74,14.14,14.36,9.18,1.00
2018-03-31,48.04,17.04,14.40,9.23,0.93
2017-12-31,54.97,61.76,17.07,10.64,1.11
2017-09-30,53.87,73.79,19.24,7.20,1.70
2017-06-30,59.06,173.70,20.74,9.06,1.92
2017-03-31,64.04,56.67,22.51,9.03,2.18
2016-12-31,58.58,21.23,17.63,6.54,2.02
2016-09-30,50.26,14.08,12.23,4.11,1.88
2016-06-30,49.82,14.74,14.45,4.12,1.88
2016-03-31,50.27,16.11,13.05,4.16,1.90
2015-12-31,42.88,14.89,17.15,3.57,1.67
2015-09-30,36.19,11.60,13.39,2.92,1.48
2015-06-30,50.17,9.52,18.93,4.07,2.10
2015-03-31,54.67,10.20,27.93,4.23,2.39
2014-12-31,49.78,9.29,25.46,3.62,2.27
2014-09-30,47.99,9.00,46.48,3.32,2.09
2014-06-30,55.59,17.93,27.23,3.42,2.52
2014-03-31,55.18,17.80,21.36,3.75,2.51
2013-12-31,56.81,18.87,21.34,3.40,2.54
2013-09-30,49.06,17.22,20.78,3.05,2.36
2013-06-30,43.37,16.37,19.28,2.73,2.13
2013-03-31,41.34,16.27,17.21,2.70,2.06
2012-12-31,33.60,14.06,13.71,2.07,1.73
2012-09-30,31.97,13.66,16.07,1.98,1.57
2012-06-30,28.75,12.84,15.98,1.82,1.41
2012-03-31,29.65,13.66,15.66,1.92,1.44
2011-12-31,23.65,12.32,10.71,1.55,1.19
2011-09-30,17.70,9.94,7.48,1.17,0.88
2011-06-30,24.63,14.16,9.27,1.65,1.24
2011-03-31,21.57,15.63,9.03,1.49,1.11
2010-12-31,16.37,15.60,7.67,1.14,0.84
2010-09-30,13.60,18.62,5.51,0.97,0.68
2010-06-30,11.05,19.38,4.85,0.82,0.55
2010-03-31,11.86,32.07,5.62,0.89,0.60
2009-12-31,11.92,36.11,12.02,0.89,0.62
2009-09-30,10.18,23.14,9.96,0.78,0.53
2009-06-30,5.82,0.00,7.33,0.46,0.30
2009-03-31,3.21,0.00,3.34,0.25,0.16
2008-12-31,6.74,0.00,2.70,0.53,0.32
2008-09-30,11.52,0.00,5.28,0.84,0.56
2008-06-30,15.14,8.10,5.73,0.46,0.75
2008-03-31,16.94,9.36,6.08,0.52,0.85
2007-12-31,20.68,11.95,8.70,0.65,1.08
2007-09-30,23.69,13.61,10.95,0.75,1.25
2007-06-30,24.85,14.88,11.51,0.79,1.32
2007-03-31,22.66,10.59,10.61,0.73,1.21
2006-12-31,22.93,10.62,11.84,0.75,1.23
