Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,71.53,0.00,0.00,1.46,0.45
2020-09-30,41.92,0.00,0.00,0.85,0.23
2020-06-30,55.90,21.58,19.35,1.10,0.26
2020-03-31,42.41,42.83,9.39,0.88,0.17
2019-12-31,86.54,14.74,12.91,1.57,0.33
2019-09-30,78.05,14.11,11.96,1.49,0.30
2019-06-30,77.47,12.78,24.81,1.47,0.29
2019-03-31,75.94,11.59,13.55,1.45,0.28
2018-12-31,66.39,9.09,16.41,1.22,0.24
2018-09-30,99.74,9.52,20.61,1.84,0.38
2018-06-30,96.51,9.30,15.30,1.81,0.39
2018-03-31,80.22,8.31,13.53,1.51,0.36
2017-12-31,78.77,8.53,9.76,1.49,0.37
2017-09-30,65.38,14.12,8.27,1.35,0.33
2017-06-30,56.74,14.01,7.47,1.21,0.31
2017-03-31,55.17,12.13,6.48,1.19,0.31
2016-12-31,56.27,11.44,7.37,1.22,0.35
2016-09-30,43.24,9.14,6.82,0.93,0.28
2016-06-30,41.14,6.65,5.71,0.89,0.26
2016-03-31,51.18,7.19,7.54,1.12,0.31
2015-12-31,55.83,7.03,6.99,1.24,0.32
2015-09-30,47.13,4.94,5.52,1.04,0.25
2015-06-30,48.79,5.58,5.47,1.11,0.23
2015-03-31,49.24,6.85,8.08,1.18,0.22
2014-12-31,38.04,5.54,9.65,0.92,0.15
2014-09-30,35.36,5.04,4.91,0.88,0.14
2014-06-30,38.09,6.81,9.17,0.97,0.15
2014-03-31,40.19,7.53,9.42,1.05,0.16
2013-12-31,37.94,7.62,6.04,1.02,0.15
2013-09-30,25.58,5.79,15.92,0.75,0.10
2013-06-30,25.89,5.12,5.65,0.78,0.11
2013-03-31,30.90,5.41,6.91,0.92,0.13
2012-12-31,23.08,6.15,5.49,0.70,0.09
2012-09-30,21.31,10.60,6.65,0.68,0.09
2012-06-30,16.14,5.55,7.88,0.54,0.07
2012-03-31,17.11,6.31,10.59,0.59,0.07
2011-12-31,13.89,3.79,4.70,0.47,0.06
2011-09-30,11.66,4.15,2.49,0.39,0.06
2011-06-30,16.73,13.83,4.15,0.60,0.09
2011-03-31,19.47,20.72,4.78,0.73,0.12
2010-12-31,15.07,26.44,6.51,0.57,0.10
2010-09-30,11.39,0.00,8.43,0.42,0.08
2010-06-30,11.66,0.00,15.80,0.44,0.09
2010-03-31,12.74,0.00,147.79,0.49,0.10
2009-12-31,10.80,0.00,0.00,0.41,0.09
2009-09-30,12.40,0.00,0.00,0.44,0.12
2009-06-30,10.71,0.00,0.00,0.37,0.08
2009-03-31,11.27,0.00,36.84,0.37,0.06
2008-12-31,13.54,0.00,35.13,0.45,0.07
2008-09-30,18.81,3.73,4.69,0.50,0.08
2008-06-30,25.45,5.13,34.84,0.72,0.13
2008-03-31,30.25,4.04,9.21,0.88,0.17
2007-12-31,43.05,4.86,8.14,1.25,0.28
2007-09-30,41.23,4.28,8.26,1.19,0.29
2007-06-30,45.24,4.48,6.23,1.38,0.33
2007-03-31,39.44,4.29,6.90,1.25,0.29
2006-12-31,31.22,3.61,6.19,1.01,0.23
