Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,52.39,58.21,14.28,1.90,5.07
2020-09-30,41.58,46.20,11.33,1.51,4.02
2020-06-30,35.90,32.64,10.56,1.29,3.42
2020-03-31,25.96,12.36,7.73,0.90,2.45
2019-12-31,54.31,45.64,15.68,1.92,5.16
2019-09-30,67.77,50.95,19.58,2.33,6.52
2019-06-30,62.74,45.47,18.18,2.14,6.04
2019-03-31,57.90,45.96,16.32,2.03,5.56
2018-12-31,52.52,46.47,15.10,1.82,5.03
2018-09-30,48.74,23.78,14.07,1.65,4.71
2018-06-30,50.31,14.46,13.92,1.68,4.91
2018-03-31,43.16,12.55,12.28,1.42,4.26
2017-12-31,51.47,13.65,14.24,1.68,5.16
2017-09-30,55.14,16.91,14.89,1.82,5.52
2017-06-30,58.17,29.53,16.06,1.98,5.86
2017-03-31,53.83,27.33,14.53,1.82,5.43
2016-12-31,51.12,27.49,14.40,1.72,5.14
2016-09-30,57.03,34.56,15.49,1.91,5.73
2016-06-30,58.17,44.75,15.98,2.03,5.84
2016-03-31,49.74,37.40,13.70,1.74,5.01
2015-12-31,44.02,34.93,11.39,1.53,4.47
2015-09-30,43.15,34.52,11.25,1.49,4.64
2015-06-30,41.32,26.66,10.17,1.24,4.49
2015-03-31,48.01,30.58,11.97,1.43,5.16
2014-12-31,46.65,28.97,11.85,1.59,4.98
2014-09-30,39.87,24.61,9.90,1.36,4.48
2014-06-30,40.79,24.72,10.07,1.38,4.57
2014-03-31,38.11,24.27,9.62,1.27,4.37
2013-12-31,35.63,23.14,9.45,1.18,4.17
2013-09-30,37.76,25.86,10.63,1.24,4.07
2013-06-30,42.19,29.30,12.97,1.37,4.68
2013-03-31,44.04,33.88,14.47,1.43,5.02
2012-12-31,38.58,31.36,12.30,1.24,4.59
2012-09-30,36.75,22.97,9.31,1.15,4.29
2012-06-30,36.91,23.51,10.10,1.14,4.43
2012-03-31,33.03,23.10,10.39,1.03,4.00
2011-12-31,31.54,22.21,10.07,0.97,3.96
2011-09-30,27.95,22.36,13.74,0.86,3.89
2011-06-30,29.49,23.22,12.19,1.42,4.24
2011-03-31,30.06,19.64,10.84,1.85,4.64
2010-12-31,28.73,18.30,10.55,1.89,4.52
2010-09-30,27.93,19.53,10.01,1.82,4.47
2010-06-30,25.17,18.24,9.23,1.62,4.14
2010-03-31,25.16,15.93,9.56,1.60,4.17
2009-12-31,22.91,13.02,8.51,1.44,3.76
2009-09-30,19.93,10.95,7.77,1.25,3.21
2009-06-30,15.25,7.78,5.83,0.95,2.39
2009-03-31,11.36,5.98,4.36,0.75,1.74
2008-12-31,16.50,10.25,6.35,1.08,2.50
2008-09-30,23.88,16.82,8.86,1.56,3.55
2008-06-30,20.33,17.38,6.68,1.42,3.02
2008-03-31,21.22,9.92,6.72,1.48,3.16
2007-12-31,21.12,9.06,6.55,1.55,3.44
2007-09-30,19.11,7.65,6.06,1.38,3.59
2007-06-30,16.53,6.36,6.19,1.17,3.54
2007-03-31,18.98,13.56,7.78,2.85,4.78
2006-12-31,18.85,14.96,8.28,2.82,4.95
