Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,14.83,28.52,4.62,0.61,0.67
2020-06-30,16.08,30.34,5.06,0.71,0.72
2020-03-31,14.91,124.25,3.99,0.68,0.66
2019-12-31,20.10,670.00,6.53,0.87,0.90
2019-09-30,19.78,219.78,6.71,0.89,0.90
2019-06-30,19.04,317.33,5.97,0.83,0.87
2019-03-31,28.34,61.61,10.41,1.23,1.30
2018-12-31,27.40,40.29,6.77,1.16,1.24
2018-09-30,36.60,35.19,9.94,1.56,1.65
2018-06-30,36.14,42.02,10.42,1.53,1.63
2018-03-31,41.17,30.72,11.17,1.61,1.85
2017-12-31,42.31,32.80,12.69,1.67,1.91
2017-09-30,31.37,19.48,10.16,1.27,1.40
2017-06-30,38.82,31.82,9.24,1.62,1.71
2017-03-31,38.99,38.99,9.95,1.79,1.76
2016-12-31,38.15,41.92,11.99,1.84,1.78
2016-09-30,38.12,74.75,9.88,1.72,1.89
2016-06-30,43.24,27.54,12.18,2.13,2.21
2016-03-31,46.35,29.71,16.14,2.22,2.43
2015-12-31,54.07,32.57,16.34,2.72,2.84
2015-09-30,40.27,23.01,17.78,2.02,2.09
2015-06-30,67.86,31.13,45.94,3.48,3.53
2015-03-31,59.35,27.22,34.27,3.19,3.07
2014-12-31,56.37,24.09,32.54,6.46,2.90
2014-09-30,45.49,19.61,17.59,5.00,2.42
2014-06-30,51.56,35.32,21.57,5.75,2.86
2014-03-31,48.83,30.52,20.11,5.71,2.75
2013-12-31,43.40,27.47,21.47,5.45,2.47
2013-09-30,38.17,25.11,26.16,4.52,2.24
2013-06-30,31.03,19.04,17.98,4.02,1.83
2013-03-31,28.96,19.30,14.57,3.82,1.75
2012-12-31,27.45,17.94,17.48,3.23,1.70
2012-09-30,24.37,16.92,14.76,2.74,1.57
2012-06-30,21.37,16.57,18.42,2.71,1.45
2012-03-31,23.45,18.18,27.03,2.66,1.64
2011-12-31,21.46,17.59,21.37,2.61,1.54
2011-09-30,16.99,18.27,12.23,2.07,1.15
2011-06-30,24.67,27.41,18.15,2.71,1.73
2011-03-31,22.66,31.04,16.67,2.54,1.51
2010-12-31,21.13,30.19,9.35,2.55,1.32
2010-09-30,18.81,26.87,13.20,1.64,1.18
2010-06-30,17.04,71.00,11.24,1.77,1.00
2010-03-31,22.71,84.11,11.54,2.20,1.35
2009-12-31,18.43,80.13,12.55,1.80,1.20
2009-09-30,16.01,177.89,8.35,1.59,1.08
2009-06-30,13.05,19.48,9.70,1.37,0.91
2009-03-31,13.41,29.80,0.00,1.54,0.95
2008-12-31,9.89,0.00,13.72,1.08,0.66
2008-09-30,11.42,0.00,62.64,1.17,0.83
2008-06-30,12.07,0.00,195.62,1.17,1.01
2008-03-31,11.60,0.00,12.91,1.12,1.14
2007-12-31,14.06,0.00,63.28,1.26,1.59
2007-09-30,15.96,12.87,24.55,2.10,1.97
2007-06-30,18.19,18.19,19.34,2.62,2.31
2007-03-31,21.07,20.46,20.19,3.17,2.86
2006-12-31,19.84,14.81,25.33,3.84,3.80
