Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,58.24,13.21,11.12,3.62,1.88
2020-06-30,53.36,11.58,9.35,3.44,1.70
2020-03-31,51.46,11.62,11.49,3.45,1.62
2019-12-31,58.20,12.52,13.53,3.83,1.83
2019-09-30,56.62,14.56,13.09,3.88,1.78
2019-06-30,53.03,13.84,12.92,3.78,1.67
2019-03-31,54.32,14.00,12.21,3.91,1.71
2018-12-31,51.11,13.56,11.94,3.86,1.61
2018-09-30,48.01,6.11,12.33,3.54,1.51
2018-06-30,44.72,5.92,13.78,3.45,1.42
2018-03-31,41.98,5.50,15.82,3.31,1.34
2017-12-31,45.94,6.24,26.57,4.19,1.49
2017-09-30,42.44,10.88,49.64,6.09,1.39
2017-06-30,37.80,9.69,119.92,5.76,1.25
2017-03-31,40.77,13.59,0.00,6.64,1.35
2016-12-31,44.17,13.72,38.98,7.49,1.43
2016-09-30,42.52,12.36,14.95,7.89,1.36
2016-06-30,45.22,12.77,11.48,8.89,1.42
2016-03-31,43.34,9.83,9.38,8.79,1.34
2015-12-31,36.59,8.37,7.05,8.35,1.14
2015-09-30,34.00,13.55,7.18,9.51,1.06
2015-06-30,36.00,14.94,8.02,11.37,1.14
2015-03-31,37.15,15.61,9.10,14.08,1.19
2014-12-31,35.31,14.07,10.46,10.73,1.09
2014-09-30,37.32,7.76,8.31,8.62,1.07
2014-06-30,36.14,7.69,6.09,9.36,0.95
2014-03-31,34.75,7.77,4.80,10.39,0.85
2013-12-31,35.51,8.88,4.59,1.07,0.85
2013-09-30,33.35,43.88,5.19,1.06,0.80
2013-06-30,35.61,65.94,6.01,1.17,0.86
2013-03-31,34.41,86.02,5.85,1.12,0.84
2012-12-31,29.93,96.56,5.60,1.00,0.74
2012-09-30,31.18,28.87,4.95,0.96,0.78
2012-06-30,30.07,29.77,4.89,0.95,0.76
2012-03-31,25.53,27.16,4.75,0.82,0.65
2011-12-31,26.45,30.75,5.55,0.87,0.68
2011-09-30,23.92,9.57,5.44,0.77,0.62
2011-06-30,23.89,10.30,5.85,0.75,0.63
2011-03-31,24.42,14.54,4.97,0.78,0.65
2010-12-31,22.37,17.08,3.75,0.73,0.59
2010-09-30,20.08,133.88,3.30,0.67,0.53
2010-06-30,15.87,63.48,2.55,0.53,0.42
2010-03-31,17.30,20.59,3.22,0.58,0.45
2009-12-31,18.20,14.22,3.56,0.61,0.48
2009-09-30,16.37,8.44,3.42,0.55,0.44
2009-06-30,16.35,7.71,3.84,0.56,0.45
2009-03-31,15.84,7.01,3.74,0.56,0.45
2008-12-31,17.53,7.79,4.84,0.63,0.51
2008-09-30,16.32,7.45,3.90,0.91,0.48
2008-06-30,17.79,8.72,4.63,1.00,0.54
2008-03-31,18.02,9.20,5.16,1.02,0.55
2007-12-31,21.39,11.26,6.67,1.22,0.66
2007-09-30,21.47,11.42,11.06,1.25,0.68
2007-06-30,19.77,9.41,9.29,1.15,0.63
2007-03-31,18.02,8.70,9.92,1.07,0.59
2006-12-31,17.50,8.26,7.34,1.05,0.58
