Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,73.96,30.56,17.20,1.40,1.75
2020-09-30,61.68,25.49,14.34,1.17,1.46
2020-06-30,57.28,25.69,15.95,1.10,1.33
2020-03-31,47.79,20.69,11.61,0.93,1.05
2019-12-31,77.13,45.64,16.39,1.48,1.59
2019-09-30,71.13,53.08,14.28,1.40,1.52
2019-06-30,70.92,40.07,17.56,1.36,1.49
2019-03-31,72.73,34.63,31.91,1.21,1.53
2018-12-31,69.19,22.61,28.69,2.33,1.53
2018-09-30,103.16,32.14,85.31,3.42,2.30
2018-06-30,96.86,32.29,49.23,3.25,2.22
2018-03-31,79.88,27.73,47.86,2.57,1.91
2017-12-31,79.77,29.22,76.20,2.71,1.98
2017-09-30,74.09,28.06,44.32,2.60,1.98
2017-06-30,89.35,31.35,52.37,3.32,2.55
2017-03-31,76.07,24.54,23.79,3.08,2.28
2016-12-31,80.87,24.14,18.40,2.59,2.51
2016-09-30,79.44,19.96,18.67,4.09,2.45
2016-06-30,68.23,16.68,12.67,3.56,2.05
2016-03-31,76.96,18.63,17.02,4.13,2.27
2015-12-31,68.95,16.82,16.59,3.72,2.03
2015-09-30,85.27,21.32,18.47,4.14,2.52
2015-06-30,91.19,23.32,22.33,4.51,2.70
2015-03-31,91.88,24.31,20.28,4.88,2.82
2014-12-31,83.97,23.20,19.14,4.47,2.67
2014-09-30,78.26,22.82,22.81,4.21,2.61
2014-06-30,79.70,24.45,27.23,4.35,2.82
2014-03-31,74.75,23.96,37.06,4.29,2.74
2013-12-31,71.60,23.79,34.59,4.33,2.70
2013-09-30,60.57,20.74,32.60,3.85,2.35
2013-06-30,51.44,18.31,22.17,3.52,2.03
2013-03-31,49.13,18.16,19.98,3.55,1.96
2012-12-31,42.10,16.22,20.12,3.13,1.70
2012-09-30,38.59,16.05,16.71,3.00,1.61
2012-06-30,37.47,16.76,21.05,3.11,1.63
2012-03-31,36.19,18.60,18.11,3.10,1.67
2011-12-31,33.57,19.07,15.35,3.07,1.65
2011-09-30,25.36,15.85,14.29,2.40,1.34
2011-06-30,31.51,21.96,15.81,2.99,1.78
2011-03-31,32.52,23.48,20.01,3.23,1.96
2010-12-31,25.35,19.88,15.63,2.69,1.62
2010-09-30,22.90,19.00,17.60,2.51,1.49
2010-06-30,19.11,16.26,13.83,2.27,1.28
2010-03-31,20.17,17.24,11.92,2.42,1.39
2009-12-31,19.56,16.37,12.67,2.39,1.34
2009-09-30,17.97,14.20,11.02,2.27,1.20
2009-06-30,15.40,11.66,10.19,2.08,0.99
2009-03-31,12.62,9.38,7.32,1.83,0.78
2008-12-31,19.01,14.24,13.60,2.82,1.18
2008-09-30,24.50,18.77,15.29,3.47,1.56
2008-06-30,23.24,18.75,17.81,3.32,1.52
2008-03-31,18.00,15.26,25.12,2.74,1.24
2007-12-31,16.46,14.83,13.08,2.60,1.19
2007-09-30,17.90,16.49,26.29,2.98,1.37
2007-06-30,17.45,17.71,19.99,3.14,1.43
2007-03-31,16.47,18.00,15.34,3.20,1.42
2006-12-31,14.50,16.86,10.79,2.98,1.31
