Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,281.72,57.85,33.91,0.00,7.43
2020-09-30,195.68,24.49,23.56,-291.89,5.46
2020-06-30,180.40,22.47,23.47,-58.25,5.16
2020-03-31,182.05,22.39,27.74,-33.34,5.17
2019-12-31,233.65,26.61,33.23,-67.61,6.70
2019-09-30,223.23,27.49,31.85,125.86,6.65
2019-06-30,215.24,27.31,33.08,26.17,6.64
2019-03-31,251.71,32.35,40.52,18.24,8.02
2018-12-31,188.65,24.60,30.71,8.80,6.09
2018-09-30,194.68,252.83,31.17,7.86,6.43
2018-06-30,193.59,307.29,28.73,7.55,6.49
2018-03-31,198.65,709.46,25.93,7.36,6.82
2017-12-31,193.19,1016.79,25.44,6.86,6.75
2017-09-30,179.52,26.48,24.11,5.43,6.45
2017-06-30,183.84,27.77,24.95,5.83,6.74
2017-03-31,156.31,23.83,22.18,5.22,5.80
2016-12-31,134.39,21.00,19.82,4.67,5.06
2016-09-30,158.49,26.07,24.09,5.65,6.12
2016-06-30,140.65,23.64,21.93,5.27,5.52
2016-03-31,131.92,23.35,22.60,5.08,5.31
2015-12-31,134.58,23.82,23.37,5.33,5.48
2015-09-30,118.21,21.03,20.57,4.90,4.86
2015-06-30,128.38,23.09,23.19,5.46,5.32
2015-03-31,124.32,22.94,22.82,5.52,5.21
2014-12-31,112.72,22.15,22.74,4.95,4.82
2014-09-30,99.12,20.06,21.25,4.48,4.30
2014-06-30,104.44,22.03,24.31,4.76,4.64
2014-03-31,108.41,23.36,25.70,5.05,4.92
2013-12-31,100.00,19.19,23.62,4.81,4.55
2013-09-30,106.21,19.10,26.64,5.57,4.99
2013-06-30,100.05,18.06,24.98,5.61,4.74
2013-03-31,93.91,16.77,23.92,5.45,4.49
2012-12-31,87.12,16.79,22.50,5.13,4.22
2012-09-30,83.33,17.73,20.77,5.45,4.08
2012-06-30,79.47,16.98,18.16,5.52,3.92
2012-03-31,92.66,19.88,21.12,6.39,4.62
2011-12-31,74.05,15.79,16.60,5.37,3.71
2011-09-30,75.49,16.63,16.96,5.83,3.88
2011-06-30,95.74,21.47,23.20,7.14,5.09
2011-03-31,86.90,20.26,19.93,6.91,4.78
2010-12-31,77.71,19.09,18.50,6.68,4.45
2010-09-30,70.78,18.68,17.46,6.99,4.23
2010-06-30,64.70,18.17,15.38,7.32,3.97
2010-03-31,67.54,19.98,18.11,7.71,4.25
2009-12-31,61.96,18.55,18.50,6.87,4.01
2009-09-30,55.86,17.08,17.59,6.77,3.68
2009-06-30,51.47,16.13,17.27,6.72,3.40
2009-03-31,36.95,11.23,11.30,5.35,2.41
2008-12-31,36.65,11.42,10.55,5.43,2.35
2008-09-30,58.18,18.41,17.11,8.86,3.71
2008-06-30,64.50,21.72,20.45,9.81,4.21
2008-03-31,55.70,20.33,17.69,9.04,3.76
2007-12-31,79.07,30.30,26.13,13.62,5.50
2007-09-30,66.92,27.54,25.85,14.72,4.84
2007-06-30,59.36,24.73,24.21,15.65,4.47
2007-03-31,58.00,25.55,28.07,15.60,4.56
2006-12-31,48.97,22.78,24.06,13.70,3.99
