Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-11-30,37.65,0.00,6.58,1.58,0.23
2020-08-31,37.21,74.41,6.78,1.52,0.24
2020-05-31,41.54,50.66,7.59,1.70,0.27
2020-02-29,43.77,11.22,7.09,1.58,0.28
2019-11-30,56.51,13.88,10.98,2.06,0.38
2019-08-31,48.18,11.20,11.42,1.79,0.33
2019-05-31,46.03,9.02,9.99,1.68,0.32
2019-02-28,65.85,12.38,13.69,2.37,0.47
2018-11-30,77.85,14.31,12.35,2.80,0.57
2018-08-31,62.70,12.37,9.05,2.24,0.48
2018-05-31,56.70,13.25,9.49,1.98,0.45
2018-02-28,62.23,15.56,11.69,2.19,0.52
2017-11-30,65.35,18.05,10.95,2.42,0.58
2017-08-31,72.79,19.26,12.37,2.64,0.67
2017-05-31,72.00,18.14,11.19,2.45,0.67
2017-02-28,76.43,19.55,11.14,2.72,0.72
2016-11-30,74.63,19.74,12.11,2.71,0.70
2016-08-31,70.77,18.53,11.73,2.53,0.66
2016-05-31,67.56,23.38,12.87,2.33,0.62
2016-02-29,68.59,22.42,13.30,2.48,0.64
2015-11-30,72.68,17.55,16.58,2.53,0.69
2015-08-31,74.52,18.72,14.87,2.59,0.75
2015-05-31,73.62,19.84,15.29,2.52,0.80
2015-02-28,70.98,21.64,16.04,2.50,0.83
2014-11-30,58.37,27.40,13.80,2.66,0.72
2014-08-31,51.23,25.61,17.32,2.36,0.65
2014-05-31,60.54,20.59,21.28,2.70,0.77
2014-02-28,56.95,20.05,20.73,2.61,0.74
2013-11-30,49.34,17.31,17.40,2.34,0.65
2013-08-31,39.86,15.57,11.88,1.94,0.53
2013-05-31,39.35,17.41,14.49,1.96,0.52
2013-02-28,33.54,15.04,10.16,1.68,0.43
2012-11-30,27.60,12.43,8.87,1.42,0.35
2012-08-31,28.87,11.93,8.82,1.49,0.35
2012-05-31,24.45,8.43,8.77,1.40,0.30
2012-02-29,26.38,9.00,12.14,1.54,0.32
2011-11-30,26.65,9.03,12.60,1.59,0.33
2011-08-31,27.63,9.40,10.51,1.65,0.35
2011-05-31,34.02,13.29,9.74,2.09,0.45
2011-02-28,33.66,14.14,10.50,2.10,0.46
2010-11-30,26.96,11.93,9.46,1.73,0.38
2010-08-31,20.69,9.71,7.49,1.35,0.30
2010-05-31,24.51,11.78,9.80,1.58,0.37
2010-02-28,26.85,12.55,9.66,1.76,0.41
2009-11-30,29.51,13.99,8.71,1.99,0.45
2009-08-31,25.62,12.62,11.63,1.76,0.40
2009-05-31,22.43,10.99,12.82,1.57,0.36
2009-02-28,17.90,8.56,17.14,1.30,0.29
2008-11-30,18.48,8.68,30.00,1.39,0.31
2008-08-31,27.09,12.42,32.45,2.08,0.46
2008-05-31,26.70,12.54,44.13,2.11,0.46
2008-02-29,26.99,12.79,52.18,2.22,0.48
2007-11-30,26.98,13.03,64.51,2.33,0.49
2007-08-31,33.15,16.25,54.51,2.96,0.62
2007-05-31,33.12,16.16,56.57,3.02,0.64
2007-02-28,32.75,16.80,32.26,3.09,0.65
2006-11-30,29.62,16.36,24.72,2.92,0.61
