Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,68.88,125.24,95.18,2.14,1.28
2020-12-31,55.39,100.71,76.54,1.72,1.03
2020-09-30,36.55,0.00,108.14,1.16,0.66
2020-06-30,44.15,0.00,74.33,1.40,0.79
2020-03-31,41.09,0.00,34.97,1.33,0.76
2019-12-31,62.18,0.00,58.72,1.98,1.18
2019-09-30,57.93,0.00,35.45,1.80,1.09
2019-06-30,46.18,0.00,17.07,1.37,0.82
2019-03-31,46.16,92.32,10.31,1.32,0.76
2018-12-31,35.13,13.06,5.06,0.94,0.55
2018-09-30,54.88,34.51,5.90,1.39,0.81
2018-06-30,71.95,34.10,6.50,1.85,1.06
2018-03-31,85.21,146.91,7.31,2.25,1.26
2017-12-31,73.04,60.36,5.99,1.92,1.09
2017-09-30,78.86,16.46,6.56,1.93,1.20
2017-06-30,80.40,62.81,8.26,2.07,1.24
2017-03-31,74.50,0.00,9.82,1.97,1.18
2016-12-31,60.96,0.00,9.89,1.64,1.02
2016-09-30,52.08,0.00,10.42,1.38,0.91
2016-06-30,41.74,33.12,7.22,1.06,0.76
2016-03-31,41.27,11.66,6.39,1.00,0.76
2015-12-31,51.89,10.70,7.17,1.26,0.91
2015-09-30,68.06,11.92,13.37,1.68,1.15
2015-06-30,66.80,10.67,9.71,1.67,1.09
2015-03-31,77.03,11.60,9.87,1.93,1.22
2014-12-31,93.18,14.20,12.02,2.38,1.48
2014-09-30,81.29,12.70,7.92,2.12,1.29
2014-06-30,77.09,11.52,8.53,2.04,1.23
2014-03-31,76.36,10.79,8.52,2.05,1.22
2013-12-31,69.54,9.75,7.77,1.92,1.11
2013-09-30,52.36,7.79,5.91,1.50,0.85
2013-06-30,51.07,7.59,5.80,1.53,0.82
2013-03-31,41.20,5.22,4.03,1.16,0.62
2012-12-31,34.63,4.20,2.82,1.01,0.55
2012-09-30,31.36,4.18,2.80,0.95,0.56
2012-06-30,24.52,3.80,2.48,0.79,0.48
2012-03-31,33.30,7.83,4.41,1.17,0.79
2011-12-31,24.90,8.56,6.47,0.99,0.63
2011-09-30,20.69,6.35,5.39,0.85,0.50
2011-06-30,29.27,9.47,7.84,1.24,0.72
2011-03-31,30.00,8.45,9.22,1.31,0.74
2010-12-31,27.27,5.88,6.18,1.23,0.65
2010-09-30,22.84,4.13,4.70,1.07,0.53
2010-06-30,24.26,4.08,4.69,1.19,0.57
2010-03-31,31.37,5.53,5.63,1.62,0.77
2009-12-31,35.52,8.50,7.21,2.03,0.97
2009-09-30,29.39,12.30,7.15,1.88,0.88
2009-06-30,21.32,10.30,5.91,1.50,0.65
2009-03-31,15.56,7.24,5.54,1.17,0.47
2008-12-31,9.21,2.91,3.06,0.71,0.26
2008-09-30,17.15,3.85,4.47,1.34,0.46
2008-06-30,27.78,7.25,8.01,2.31,0.78
2008-03-31,21.75,5.55,6.43,2.03,0.66
2007-12-31,24.30,7.55,9.65,2.57,0.81
2007-09-30,20.37,8.35,15.64,2.57,0.77
2007-06-30,15.57,6.01,11.97,2.04,0.64
2007-03-31,13.52,6.47,11.84,1.99,0.59
2006-12-31,16.46,8.19,16.04,2.58,0.76
