Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,23.33,63.06,2.64,0.53,1.15
2020-06-30,25.30,29.08,3.15,0.58,1.18
2020-03-31,27.81,9.83,7.02,0.62,1.23
2019-12-31,51.58,12.83,33.91,1.13,2.22
2019-09-30,47.90,10.35,26.66,1.05,2.09
2019-06-30,44.45,9.18,7.24,0.98,2.00
2019-03-31,44.96,9.95,7.37,1.02,2.10
2018-12-31,42.48,9.57,5.70,0.99,2.05
2018-09-30,48.07,10.95,10.92,1.13,2.35
2018-06-30,50.33,12.28,10.28,1.18,2.52
2018-03-31,47.22,11.27,11.22,1.12,2.39
2017-12-31,54.34,13.35,14.64,1.28,2.80
2017-09-30,49.06,12.68,10.62,1.17,2.57
2017-06-30,48.93,12.05,22.00,1.18,2.60
2017-03-31,48.82,12.20,29.81,1.20,2.62
2016-12-31,48.01,12.03,243.32,1.20,2.61
2016-09-30,38.25,9.42,0.00,0.94,2.10
2016-06-30,40.56,9.94,15.54,1.01,2.26
2016-03-31,41.13,10.03,11.04,1.05,2.34
2015-12-31,45.87,11.05,15.03,1.20,2.66
2015-09-30,43.03,10.39,9.91,1.13,2.51
2015-06-30,46.83,11.39,13.26,1.26,2.77
2015-03-31,44.99,11.00,13.88,1.22,2.68
2014-12-31,45.04,10.98,13.68,1.26,2.72
2014-09-30,42.34,10.38,7.75,1.21,2.58
2014-06-30,42.60,10.52,6.50,1.23,2.63
2014-03-31,40.03,9.96,4.19,1.19,2.46
2013-12-31,36.29,9.33,3.38,1.12,2.21
2013-09-30,32.80,8.63,3.42,1.02,1.97
2013-06-30,32.53,8.82,3.85,1.05,1.93
2013-03-31,28.93,8.20,2.99,0.94,1.71
2012-12-31,26.55,7.90,2.43,0.88,1.56
2012-09-30,26.64,8.38,5.51,0.90,1.58
2012-06-30,25.63,8.49,6.75,0.90,1.54
2012-03-31,26.00,8.97,11.21,0.94,1.57
2011-12-31,20.84,7.39,8.12,0.77,1.27
2011-09-30,18.15,6.72,2.86,0.69,1.08
2011-06-30,21.03,8.15,3.68,0.80,1.23
2011-03-31,23.66,9.74,4.65,0.93,1.36
2010-12-31,23.04,10.43,6.46,0.95,1.30
2010-09-30,18.64,11.09,3.56,0.78,0.99
2010-06-30,18.96,11.56,3.44,0.82,0.96
2010-03-31,23.02,13.87,5.44,1.01,1.11
2009-12-31,19.93,11.26,3.18,0.90,0.91
2009-09-30,20.77,23.07,71.53,0.75,1.05
2009-06-30,17.85,21.50,0.00,0.69,0.97
2009-03-31,10.46,13.23,4.28,0.42,0.62
2008-12-31,21.23,25.58,0.00,0.88,1.37
2008-09-30,26.74,13.17,4.34,1.89,1.65
2008-06-30,16.74,7.54,3.71,1.16,1.01
2008-03-31,20.30,8.60,16.73,1.38,1.25
2007-12-31,20.84,8.61,7.59,1.44,1.32
2007-09-30,24.34,9.19,11.69,1.70,1.58
2007-06-30,23.82,9.13,5.49,1.70,1.60
2007-03-31,23.14,9.06,4.91,1.68,1.60
2006-12-31,23.72,9.52,2.89,1.75,1.68
