Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,195.34,11.49,9.84,2.61,0.63
2020-12-31,180.49,10.62,9.10,2.41,0.59
2020-09-30,182.70,13.29,6.19,2.65,0.61
2020-06-30,127.83,9.80,4.12,2.02,0.43
2020-03-31,83.74,6.18,2.74,1.30,0.27
2019-12-31,142.69,7.74,4.89,2.18,0.45
2019-09-30,151.95,9.18,5.34,2.42,0.48
2019-06-30,135.42,9.53,19.33,2.33,0.42
2019-03-31,125.25,34.13,16.82,2.12,0.40
2018-12-31,99.92,0.00,8.40,2.00,0.32
2018-09-30,109.91,0.00,0.00,2.13,0.37
2018-06-30,134.12,0.00,44.21,2.61,0.46
2018-03-31,139.44,36.22,29.44,1.90,0.48
2017-12-31,152.54,33.45,17.70,2.11,0.54
2017-09-30,165.71,15.62,19.05,2.10,0.59
2017-06-30,171.04,17.12,17.48,2.20,0.62
2017-03-31,152.02,13.08,14.50,1.95,0.56
2016-12-31,160.38,13.91,20.43,2.07,0.60
2016-09-30,142.20,12.42,19.26,1.79,0.54
2016-06-30,145.33,12.86,18.50,1.87,0.55
2016-03-31,156.34,16.70,26.11,2.09,0.60
2015-12-31,126.57,12.89,17.60,1.72,0.48
2015-09-30,126.19,14.74,12.56,1.70,0.47
2015-06-30,147.50,17.37,15.17,1.97,0.56
2015-03-31,171.40,20.09,23.59,2.33,0.67
2014-12-31,163.77,20.05,16.71,2.20,0.66
2014-09-30,122.61,13.03,44.66,1.80,0.52
2014-06-30,116.62,13.03,21.90,1.70,0.50
2014-03-31,124.55,13.63,16.71,1.84,0.53
2013-12-31,130.15,12.71,15.24,1.99,0.56
2013-09-30,120.98,12.73,16.14,2.00,0.53
2013-06-30,94.02,11.72,18.24,1.59,0.41
2013-03-31,96.92,13.83,20.19,1.67,0.43
2012-12-31,82.88,16.38,28.58,1.50,0.36
2012-09-30,67.18,10.91,20.53,1.18,0.29
2012-06-30,49.23,6.57,0.00,0.88,0.21
2012-03-31,61.37,15.50,0.00,1.06,0.26
2011-12-31,37.64,7.59,0.00,0.67,0.16
2011-09-30,39.21,8.66,0.00,0.69,0.16
2011-06-30,63.34,19.31,43.90,1.07,0.26
2011-03-31,66.09,8.24,21.19,1.10,0.28
2010-12-31,68.42,8.57,10.58,1.20,0.29
2010-09-30,62.00,8.82,6.58,1.14,0.26
2010-06-30,66.87,9.34,4.22,1.34,0.28
2010-03-31,66.15,11.90,3.60,1.31,0.28
2009-12-31,60.84,14.02,4.24,1.21,0.27
2009-09-30,52.47,14.18,6.38,1.05,0.24
2009-06-30,31.70,6.74,0.00,0.68,0.14
2009-03-31,21.81,4.20,0.00,0.53,0.09
2008-12-31,29.94,5.44,0.00,0.71,0.12
2008-09-30,56.76,7.80,19.32,1.04,0.22
2008-06-30,43.95,6.00,6.79,0.77,0.17
2008-03-31,61.42,7.87,15.73,1.13,0.25
2007-12-31,57.50,7.15,8.82,1.12,0.24
2007-09-30,62.43,8.88,13.73,1.28,0.26
2007-06-30,77.56,12.31,16.86,1.70,0.32
2007-03-31,59.00,10.82,9.47,1.35,0.25
2006-12-31,57.40,10.09,11.26,1.36,0.24
