Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,112.65,31.82,22.32,6.65,3.20
2020-06-30,104.91,27.75,23.15,6.42,2.96
2020-03-31,91.22,23.09,20.07,5.71,2.52
2019-12-31,111.79,28.59,23.25,6.71,3.09
2019-09-30,112.30,27.39,27.14,7.02,3.11
2019-06-30,112.18,27.36,27.11,7.35,3.15
2019-03-31,100.58,23.07,22.94,6.66,2.87
2018-12-31,85.70,19.21,19.74,5.79,2.49
2018-09-30,87.02,16.48,22.42,5.96,2.57
2018-06-30,77.94,15.62,19.78,5.51,2.33
2018-03-31,80.15,17.24,20.86,5.71,2.43
2017-12-31,81.78,18.55,21.63,5.87,2.50
2017-09-30,73.79,23.80,18.34,6.05,2.29
2017-06-30,68.77,23.63,17.98,5.49,2.17
2017-03-31,67.97,24.81,18.47,5.42,2.18
2016-12-31,65.71,24.80,17.63,5.41,2.16
2016-09-30,58.74,23.40,17.87,4.82,1.97
2016-06-30,60.66,23.60,19.82,5.13,2.07
2016-03-31,53.65,21.21,16.84,4.49,1.86
2015-12-31,48.18,28.85,16.96,4.01,1.70
2015-09-30,44.65,19.08,16.18,3.79,1.56
2015-06-30,41.23,18.91,14.57,3.45,1.42
2015-03-31,47.86,23.58,19.67,3.93,1.63
2014-12-31,44.98,16.06,17.75,3.50,1.50
2014-09-30,41.34,179.74,16.23,3.34,1.37
2014-06-30,38.60,142.95,14.74,2.93,1.29
2014-03-31,36.00,105.87,14.20,2.77,1.20
2013-12-31,38.05,181.17,15.10,2.94,1.28
2013-09-30,34.69,17.52,13.22,2.32,1.17
2013-06-30,33.61,18.47,15.85,2.31,1.14
2013-03-31,32.39,18.51,15.07,2.25,1.10
2012-12-31,27.60,15.68,16.33,1.92,0.94
2012-09-30,25.95,13.95,13.47,1.82,0.89
2012-06-30,26.74,13.51,11.58,1.91,0.91
2012-03-31,27.69,13.64,13.56,1.98,0.96
2011-12-31,25.64,12.51,10.56,1.85,0.91
2011-09-30,25.24,12.25,11.04,1.85,0.91
2011-06-30,28.59,14.37,11.86,2.04,1.06
2011-03-31,28.40,14.20,11.23,2.03,1.08
2010-12-31,27.78,14.03,11.44,2.00,1.07
2010-09-30,26.69,13.15,10.09,1.97,1.05
2010-06-30,23.15,11.13,9.46,1.73,0.94
2010-03-31,25.23,12.19,10.10,1.87,1.04
2009-12-31,24.54,12.21,10.24,1.81,1.03
2009-09-30,21.46,11.86,10.06,1.61,0.89
2009-06-30,20.07,10.67,8.33,1.55,0.80
2009-03-31,18.05,8.94,7.44,1.43,0.69
2008-12-31,23.09,10.54,8.45,1.83,0.85
2008-09-30,21.73,9.21,8.88,1.81,0.80
2008-06-30,25.82,11.38,10.23,2.21,0.97
2008-03-31,22.82,10.05,8.93,2.00,0.88
2007-12-31,22.03,9.97,9.36,1.90,0.87
2007-09-30,25.27,12.27,10.28,2.17,1.01
2007-06-30,25.98,12.55,12.01,2.22,1.05
2007-03-31,22.75,10.39,11.35,2.05,0.93
2006-12-31,24.14,11.44,10.89,2.07,0.99
