Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,22.64,125.78,13.80,1.84,3.55
2020-09-30,19.30,107.22,11.76,1.57,3.03
2020-06-30,18.32,166.52,11.50,1.47,2.85
2020-03-31,13.33,111.11,9.67,1.06,2.01
2019-12-31,21.70,30.56,17.06,1.61,3.21
2019-09-30,21.65,166.51,18.87,1.56,2.97
2019-06-30,24.84,310.48,21.71,1.76,3.15
2019-03-31,25.09,0.00,39.43,1.93,2.88
2018-12-31,19.00,0.00,616.84,1.44,1.99
2018-09-30,23.10,9.24,0.00,1.65,2.32
2018-06-30,22.76,9.44,0.00,1.22,2.28
2018-03-31,20.60,8.77,99.83,1.12,2.10
2017-12-31,24.96,9.53,31.86,1.27,2.57
2017-09-30,24.31,42.65,8.94,1.35,2.45
2017-06-30,24.28,39.81,8.61,1.32,2.38
2017-03-31,23.49,0.00,8.67,1.26,2.31
2016-12-31,24.46,0.00,8.60,1.31,2.45
2016-09-30,23.98,0.00,42.10,1.26,2.46
2016-06-30,16.77,0.00,90.75,0.87,1.75
2016-03-31,12.11,0.00,0.00,0.58,1.24
2015-12-31,18.62,0.00,0.00,0.86,1.90
2015-09-30,26.12,58.04,0.00,1.07,2.59
2015-06-30,40.10,14.74,0.00,1.57,3.84
2015-03-31,34.91,12.84,0.00,1.33,3.36
2014-12-31,30.63,10.82,0.00,1.13,2.88
2014-09-30,37.25,14.61,0.00,1.35,3.69
2014-06-30,38.79,73.20,0.00,2.43,3.99
2014-03-31,26.80,45.42,0.00,2.11,2.71
2013-12-31,25.23,40.69,0.00,1.93,2.53
2013-09-30,23.52,27.04,0.00,1.80,2.23
2013-06-30,20.79,22.60,0.00,1.78,1.90
2013-03-31,23.74,25.81,0.00,2.06,2.09
2012-12-31,20.54,14.78,0.00,1.88,1.70
2012-09-30,21.72,51.72,0.00,2.27,1.72
2012-06-30,17.73,28.15,0.00,1.97,1.35
2012-03-31,18.77,23.46,24.31,3.00,1.39
2011-12-31,16.31,25.49,15.18,3.73,1.23
2011-09-30,11.93,7.15,11.86,0.76,0.94
2011-06-30,14.71,0.00,63.56,0.96,1.10
2011-03-31,15.07,0.00,0.00,1.00,1.09
2010-12-31,11.89,0.00,0.00,0.86,0.78
2010-09-30,9.15,0.00,64.23,0.65,0.57
2010-06-30,8.69,17.04,10.62,0.56,0.55
2010-03-31,10.91,24.79,13.50,0.71,0.72
2009-12-31,9.91,20.64,31.67,0.64,0.71
2009-09-30,8.35,21.41,0.00,0.55,0.61
2009-06-30,7.25,9.41,0.00,0.48,0.47
2009-03-31,5.25,4.17,0.00,0.34,0.29
2008-12-31,6.61,2.77,0.00,0.42,0.32
2008-09-30,10.72,4.19,0.00,0.72,0.52
2008-06-30,18.21,8.06,0.00,1.38,0.92
2008-03-31,14.86,6.63,0.00,1.11,0.82
2007-12-31,16.07,9.92,0.00,1.48,0.96
2007-09-30,15.26,10.24,0.00,1.40,0.97
2007-06-30,14.12,10.46,0.00,1.32,0.93
2007-03-31,12.67,24.84,0.00,1.22,0.89
2006-12-31,11.59,22.72,0.00,1.14,0.75
