Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-10-31,138.24,19.98,16.17,4.47,0.72
2020-07-31,128.40,20.48,15.34,4.48,0.68
2020-04-30,120.08,22.83,18.28,4.59,0.64
2020-01-31,112.60,21.69,21.72,3.91,0.62
2019-10-31,114.81,22.92,23.30,4.16,0.64
2019-07-31,107.55,24.22,18.07,3.97,0.60
2019-04-30,99.67,34.49,18.53,3.81,0.57
2019-01-31,92.38,40.52,15.17,3.34,0.53
2018-10-31,96.14,55.25,15.22,3.52,0.56
2018-07-31,85.05,48.88,13.68,3.38,0.50
2018-04-30,83.79,28.02,13.48,3.16,0.50
2018-01-31,100.38,30.70,16.19,3.67,0.61
2017-10-31,81.78,21.75,13.25,3.08,0.50
2017-07-31,74.46,17.90,12.64,2.82,0.47
2017-04-30,69.52,15.76,10.22,2.76,0.44
2017-01-31,61.27,13.96,8.86,2.32,0.39
2016-10-31,63.83,13.88,8.86,2.44,0.41
2016-07-31,66.07,14.21,9.53,2.58,0.43
2016-04-30,60.09,13.29,10.41,2.42,0.40
2016-01-31,59.20,12.95,11.40,2.24,0.40
2015-10-31,50.64,10.84,9.97,1.97,0.34
2015-07-31,63.25,13.21,13.28,2.48,0.42
2015-04-30,68.16,13.71,14.31,2.75,0.46
2015-01-31,73.76,14.61,14.10,2.77,0.49
2014-10-31,65.83,13.49,15.11,2.53,0.44
2014-07-31,63.10,12.96,16.50,2.46,0.43
2014-04-30,67.94,14.01,17.42,2.81,0.47
2014-01-31,63.24,12.96,19.10,2.51,0.44
2013-10-31,64.62,12.45,21.13,2.67,0.45
2013-07-31,65.22,12.71,17.73,2.78,0.46
2013-04-30,64.65,12.75,18.03,2.80,0.46
2013-01-31,57.82,11.52,14.82,2.34,0.42
2012-10-31,61.66,12.71,14.17,2.63,0.45
2012-07-31,60.85,12.87,15.59,2.75,0.45
2012-04-30,47.84,10.31,11.23,2.20,0.36
2012-01-31,49.50,10.95,15.19,2.23,0.39
2011-10-31,45.48,9.63,13.72,2.19,0.36
2011-07-31,41.94,8.91,13.67,1.99,0.35
2011-04-30,43.46,9.47,12.74,2.22,0.37
2011-01-31,44.02,9.78,14.13,2.17,0.39
2010-10-31,42.29,10.55,11.00,2.23,0.38
2010-07-31,39.73,10.19,9.79,2.17,0.36
2010-04-30,41.39,10.86,12.86,2.26,0.39
2010-01-31,41.00,11.08,10.55,2.14,0.39
2009-10-31,37.93,10.99,11.56,2.09,0.37
2009-07-31,37.88,11.11,13.61,2.13,0.37
2009-04-30,38.07,11.20,12.52,2.32,0.37
2009-01-31,35.39,10.44,11.31,2.07,0.35
2008-10-31,41.73,12.10,16.05,2.42,0.41
2008-07-31,43.65,13.03,13.83,2.49,0.44
2008-04-30,43.00,13.27,18.86,2.60,0.45
2008-01-31,37.45,11.85,22.89,2.30,0.41
2007-10-31,33.22,10.75,26.45,2.11,0.37
2007-07-31,33.59,11.12,35.35,2.19,0.38
2007-04-30,34.87,12.63,48.04,2.39,0.41
2007-01-31,34.54,12.74,29.01,2.32,0.41
2006-10-31,35.56,13.57,40.70,2.52,0.44
