Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,43.95,0.00,7.11,1.05,0.65
2020-12-31,43.33,0.00,7.01,1.04,0.64
2020-09-30,34.41,0.00,7.91,0.84,0.51
2020-06-30,27.80,9.30,7.01,0.62,0.41
2020-03-31,27.59,8.41,7.77,0.62,0.39
2019-12-31,41.42,12.44,10.17,0.90,0.58
2019-09-30,34.78,10.41,8.50,0.77,0.49
2019-06-30,34.35,10.67,8.95,0.75,0.50
2019-03-31,35.68,10.91,8.94,0.79,0.54
2018-12-31,34.72,9.89,9.20,0.76,0.54
2018-09-30,48.66,6.62,13.24,1.07,0.78
2018-06-30,51.52,7.33,42.58,1.15,0.83
2018-03-31,57.56,7.90,46.59,1.27,0.95
2017-12-31,56.32,8.25,33.18,1.26,0.94
2017-09-30,50.18,18.12,17.39,1.23,0.86
2017-06-30,49.77,30.35,11.31,1.24,0.88
2017-03-31,45.36,63.89,11.21,1.17,0.81
2016-12-31,43.94,82.91,11.93,1.14,0.80
2016-09-30,41.62,0.00,11.63,1.06,0.76
2016-06-30,33.09,0.00,10.64,0.83,0.54
2016-03-31,29.77,0.00,5.77,0.68,0.45
