Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,71.81,0.00,0.00,-14.17,2.50
2020-06-30,74.49,0.00,0.00,29.30,1.83
2020-03-31,60.19,0.00,0.00,6.54,1.09
2019-12-31,137.66,119.71,0.00,9.59,2.23
2019-09-30,106.87,17.13,129.59,6.89,1.72
2019-06-30,120.71,15.66,67.65,7.02,1.93
2019-03-31,115.21,13.93,142.34,6.48,1.87
2018-12-31,94.92,17.91,0.00,5.61,1.51
2018-09-30,121.04,21.39,0.00,8.54,1.92
2018-06-30,158.55,31.71,0.00,9.47,2.54
2018-03-31,172.11,40.12,172.30,23.03,2.78
2017-12-31,158.63,21.82,16.93,15.15,2.68
2017-09-30,139.66,38.58,21.52,36.05,2.54
2017-06-30,125.30,46.93,36.12,35.93,2.46
2017-03-31,106.64,40.55,56.01,30.92,2.28
2016-12-31,80.09,33.65,0.00,31.62,1.87
2016-09-30,89.68,42.30,0.00,-141.60,2.22
2016-06-30,83.02,27.49,0.00,4971.31,2.11
2016-03-31,85.10,29.45,0.00,107.01,2.17
2015-12-31,62.62,36.62,0.00,291.11,1.56
2015-09-30,47.72,24.86,0.00,-79.73,1.14
2015-06-30,88.22,28.74,0.00,-80.95,1.93
2015-03-31,112.06,24.85,0.00,-77.31,2.28
2014-12-31,131.12,18.29,0.00,63.01,2.46
2014-09-30,162.61,19.83,33.35,56.17,2.85
2014-06-30,179.29,22.11,29.27,63.06,3.13
2014-03-31,190.74,25.81,22.71,60.21,3.37
2013-12-31,165.82,23.13,14.25,126.78,3.00
2013-09-30,131.69,21.34,12.73,55.19,2.50
2013-06-30,105.89,19.29,9.83,60.29,2.04
2013-03-31,102.83,18.43,10.30,37.78,2.01
2012-12-31,91.67,19.06,10.11,88.97,1.86
2012-09-30,87.78,16.78,8.53,12.27,1.85
2012-06-30,78.45,15.29,8.00,13.24,1.75
2012-03-31,93.99,19.87,8.59,21.42,2.17
2011-12-31,82.79,16.93,7.81,4.66,1.97
2011-09-30,82.24,19.21,7.36,3.59,1.99
2011-06-30,102.26,34.09,9.69,4.67,2.62
2011-03-31,90.29,36.85,11.09,4.30,2.47
2010-12-31,73.73,57.60,11.81,3.86,2.17
2010-09-30,57.17,173.24,14.92,2.15,1.86
2010-06-30,50.11,56.95,14.55,1.88,1.74
2010-03-31,49.67,74.14,25.27,1.90,1.89
2009-12-31,38.14,254.30,84.69,1.49,1.49
2009-09-30,43.82,0.00,0.00,2.85,1.80
2009-06-30,21.82,0.00,0.00,1.45,0.86
2009-03-31,12.34,11.02,0.00,0.83,0.46
2008-12-31,26.12,14.28,0.00,1.83,0.96
2008-09-30,50.47,12.97,0.00,3.75,1.81
2008-06-30,50.29,13.23,0.00,3.24,1.90
2008-03-31,62.21,28.28,0.00,3.96,2.47
2007-12-31,69.31,29.75,0.00,4.07,2.89
2007-09-30,93.16,76.99,0.00,5.37,4.10
2007-06-30,53.00,7.32,0.00,3.18,2.69
2007-03-31,56.08,9.02,0.00,3.35,3.44
2006-12-31,55.49,9.98,0.00,3.44,4.13
