Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,138.71,76.21,30.87,13.09,11.31
2020-12-31,141.77,77.90,31.55,13.38,11.55
2020-09-30,103.94,42.25,24.52,10.38,8.74
2020-06-30,97.75,38.19,24.09,10.30,8.11
2020-03-31,77.09,24.71,18.51,8.12,6.22
2019-12-31,96.29,28.15,24.23,9.07,7.61
2019-09-30,94.08,25.36,23.82,8.78,7.29
2019-06-30,115.28,31.50,26.41,11.08,9.17
2019-03-31,123.55,35.71,31.61,10.96,10.34
2018-12-31,82.73,26.26,22.23,7.94,7.39
2018-09-30,77.54,34.16,23.46,8.03,7.44
2018-06-30,62.81,30.20,21.74,6.85,6.32
2018-03-31,69.18,35.12,23.17,7.43,7.26
2017-12-31,64.24,33.81,19.83,6.92,6.87
2017-09-30,67.17,28.34,23.73,6.78,7.34
2017-06-30,60.66,26.03,22.52,5.94,6.84
2017-03-31,54.30,23.51,16.93,5.37,6.20
2016-12-31,56.30,24.69,22.07,5.65,6.55
2016-09-30,50.35,22.38,15.34,4.84,5.90
2016-06-30,42.47,20.03,13.34,4.16,5.07
2016-03-31,43.34,21.04,16.35,4.25,5.26
2015-12-31,42.64,21.11,14.91,4.21,5.22
2015-09-30,38.21,17.77,13.35,3.77,4.64
2015-06-30,39.53,17.26,12.92,3.89,4.68
2015-03-31,37.60,15.93,13.30,3.72,4.38
2014-12-31,38.20,15.98,13.59,3.74,4.40
2014-09-30,37.12,15.60,14.93,3.62,4.34
2014-06-30,41.18,18.30,15.84,3.95,4.89
2014-03-31,46.95,21.44,17.75,4.58,5.65
2013-12-31,39.51,18.55,14.99,3.61,4.87
2013-09-30,40.09,21.10,17.22,3.74,5.04
2013-06-30,33.71,18.03,15.27,3.29,4.26
2013-03-31,32.27,18.13,14.05,2.87,4.05
2012-12-31,30.14,16.74,12.81,2.80,3.73
2012-09-30,27.90,14.76,10.98,2.65,3.44
2012-06-30,27.84,14.65,10.99,2.70,3.41
2012-03-31,30.06,15.10,10.81,2.93,3.64
2011-12-31,26.28,12.57,8.92,2.69,3.13
2011-09-30,22.36,10.16,6.31,2.35,2.59
2011-06-30,29.53,12.41,9.99,3.13,3.31
2011-03-31,26.41,11.01,10.74,2.89,2.98
2010-12-31,23.23,9.88,11.73,2.79,2.71
2010-09-30,21.23,9.87,15.11,2.71,2.57
2010-06-30,20.01,11.57,11.77,2.77,2.70
2010-03-31,20.07,15.56,10.57,2.59,3.04
2009-12-31,19.59,19.40,11.27,2.67,3.20
2009-09-30,18.18,15.95,11.74,2.56,3.05
2009-06-30,15.78,13.15,10.94,2.28,2.54
2009-03-31,14.67,10.79,10.07,2.07,2.23
2008-12-31,13.53,9.40,8.65,2.22,2.01
2008-09-30,17.66,13.80,9.69,3.10,2.64
2008-06-30,18.91,14.66,9.67,3.25,2.94
2008-03-31,17.69,13.93,9.87,2.97,2.87
2007-12-31,16.20,13.50,10.06,2.67,2.77
2007-09-30,19.27,17.36,14.07,3.08,3.47
2007-06-30,19.64,18.18,15.76,3.09,3.60
2007-03-31,18.80,18.08,14.66,3.14,3.51
2006-12-31,17.33,15.90,7.34,2.16,3.21
