Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,52.02,0.00,0.00,1.19,1.22
2020-09-30,32.97,42.27,0.00,0.76,0.70
2020-06-30,42.12,25.07,0.00,0.95,0.81
2020-03-31,35.07,13.14,58.84,0.79,0.58
2019-12-31,63.53,18.91,50.66,1.35,1.02
2019-09-30,63.50,18.46,32.98,1.36,1.01
2019-06-30,68.07,16.40,25.65,1.45,1.03
2019-03-31,70.97,16.35,21.03,1.52,1.06
2018-12-31,59.23,12.14,15.39,1.26,0.87
2018-09-30,73.11,13.44,18.49,1.57,1.10
2018-06-30,70.42,14.34,22.10,1.54,1.12
2018-03-31,62.87,13.18,18.46,1.37,1.06
2017-12-31,69.77,15.07,20.25,1.52,1.21
2017-09-30,67.76,22.07,18.86,1.52,1.30
2017-06-30,66.08,23.86,19.18,1.51,1.27
2017-03-31,66.50,27.71,25.41,1.53,1.28
2016-12-31,72.52,38.58,51.18,1.73,1.46
2016-09-30,69.52,32.49,444.49,1.63,1.42
2016-06-30,74.02,29.37,209.75,1.74,1.45
2016-03-31,65.45,21.05,94.18,1.52,1.19
2015-12-31,60.49,15.71,65.85,1.42,1.02
2015-09-30,57.18,12.06,58.08,1.35,0.82
2015-06-30,63.39,11.28,48.01,1.48,0.80
2015-03-31,64.22,9.63,48.72,1.51,0.73
2014-12-31,69.33,9.12,24.41,1.61,0.72
2014-09-30,70.03,8.81,19.53,1.58,0.70
2014-06-30,74.45,9.48,20.78,1.69,0.74
2014-03-31,71.74,9.76,24.06,1.68,0.72
2013-12-31,73.81,10.01,29.01,1.77,0.75
2013-09-30,62.33,8.14,22.18,1.55,0.63
2013-06-30,65.00,8.17,21.45,1.67,0.66
2013-03-31,64.38,6.56,17.57,1.65,0.64
2012-12-31,61.44,6.33,12.98,1.61,0.59
2012-09-30,64.50,6.81,14.40,1.71,0.62
2012-06-30,59.97,6.31,12.42,1.65,0.57
2012-03-31,60.36,7.29,11.07,1.72,0.59
2011-12-31,58.67,6.97,11.74,1.73,0.59
2011-09-30,49.98,6.02,8.59,1.48,0.52
2011-06-30,55.61,7.31,10.85,1.67,0.63
2011-03-31,57.16,8.13,11.83,1.79,0.69
2010-12-31,49.42,7.95,11.23,1.61,0.63
2010-09-30,41.50,7.36,11.77,1.39,0.55
2010-06-30,38.06,7.35,11.36,1.33,0.51
2010-03-31,44.36,10.11,23.21,1.77,0.63
2009-12-31,44.87,11.27,36.58,1.84,0.70
2009-09-30,44.89,10.54,24.83,1.90,0.73
2009-06-30,45.46,7.40,15.17,1.97,0.64
2009-03-31,44.01,5.83,8.22,1.93,0.54
2008-12-31,51.34,5.93,6.63,2.17,0.57
2008-09-30,49.68,5.38,6.24,2.02,0.52
2008-06-30,56.09,6.94,6.89,2.33,0.64
2008-03-31,53.59,6.97,6.84,2.30,0.68
2007-12-31,59.10,8.12,9.03,2.61,0.82
2007-09-30,58.16,8.42,9.47,2.68,0.88
2007-06-30,52.48,7.52,8.82,2.50,0.81
2007-03-31,47.00,6.84,8.04,2.32,0.74
2006-12-31,47.53,7.18,8.39,2.39,0.76
