Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,43.65,0.00,16.77,2.00,2.86
2020-06-30,43.87,0.00,18.46,2.06,2.84
2020-03-31,38.57,104.25,17.93,1.80,2.18
2019-12-31,56.07,47.93,24.45,2.44,3.13
2019-09-30,52.73,73.24,29.35,2.32,2.98
2019-06-30,57.62,122.59,37.67,2.49,3.28
2019-03-31,48.89,0.00,36.50,2.14,2.76
2018-12-31,36.62,0.00,25.16,1.59,2.07
2018-09-30,37.05,0.00,22.93,1.60,2.09
2018-06-30,42.87,0.00,23.66,1.85,2.40
2018-03-31,49.18,0.00,25.92,1.67,2.80
2017-12-31,64.24,0.00,31.69,2.20,3.72
2017-09-30,58.29,0.00,28.33,1.79,3.43
2017-06-30,63.10,0.00,31.13,1.99,3.78
2017-03-31,60.68,39.15,25.96,1.71,3.64
2016-12-31,56.02,28.15,28.00,1.59,3.26
2016-09-30,57.60,29.69,30.75,1.60,3.31
2016-06-30,60.05,28.06,25.59,1.68,3.35
2016-03-31,59.58,29.64,23.54,1.66,3.22
2015-12-31,58.75,33.38,19.66,3.52,3.13
2015-09-30,48.77,25.14,14.35,2.99,2.56
2015-06-30,49.64,26.55,15.23,3.00,2.56
2015-03-31,48.94,22.45,14.95,3.15,2.47
2014-12-31,51.16,22.94,15.99,3.10,2.53
2014-09-30,43.74,20.34,14.78,2.48,2.14
2014-06-30,45.35,20.80,16.22,2.49,2.22
2014-03-31,44.03,20.39,18.41,2.47,2.16
2013-12-31,46.30,21.54,20.95,2.56,2.27
2013-09-30,41.41,16.43,18.19,2.38,2.03
2013-06-30,39.01,16.67,18.42,2.42,1.92
2013-03-31,40.36,17.55,20.01,2.54,1.98
2012-12-31,37.61,17.25,19.43,2.38,1.85
2012-09-30,36.17,22.89,20.77,2.38,1.79
2012-06-30,35.80,21.96,21.24,2.55,1.81
2012-03-31,37.94,23.86,18.69,2.63,2.03
2011-12-31,33.04,19.43,14.69,2.48,1.87
2011-09-30,28.93,15.31,13.18,2.16,1.76
2011-06-30,35.84,18.76,14.96,2.43,2.26
2011-03-31,34.77,18.49,14.83,2.47,2.25
2010-12-31,32.07,17.72,13.90,2.38,2.12
2010-09-30,29.96,16.28,13.04,2.27,1.99
2010-06-30,27.99,15.13,11.83,2.30,1.89
2010-03-31,32.59,17.81,14.21,2.53,2.22
2009-12-31,32.81,17.93,15.79,2.53,2.28
2009-09-30,32.18,17.88,17.21,2.51,2.31
2009-06-30,28.44,15.89,17.30,2.34,2.05
2009-03-31,24.93,13.55,15.46,2.20,1.76
2008-12-31,26.17,13.92,15.26,2.34,1.82
2008-09-30,34.73,18.67,18.29,3.26,2.38
2008-06-30,34.00,18.48,17.47,3.14,2.39
2008-03-31,35.63,20.48,17.73,3.49,2.62
2007-12-31,41.50,24.85,19.47,4.07,3.20
2007-09-30,38.35,23.38,18.34,3.99,3.08
2007-06-30,35.20,23.01,18.80,3.83,2.91
2007-03-31,30.10,20.34,18.39,3.42,2.56
2006-12-31,27.40,19.43,18.90,3.27,2.41
