Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,18.57,4.53,5.74,0.67,0.53
2020-06-30,14.92,3.21,3.35,0.56,0.41
2020-03-31,18.19,3.43,3.31,0.69,0.46
2019-12-31,34.91,5.93,6.11,1.28,0.87
2019-09-30,28.13,9.91,5.31,1.21,0.73
2019-06-30,33.03,14.81,8.31,1.40,0.86
2019-03-31,29.62,15.76,6.88,1.27,0.77
2018-12-31,18.16,12.88,4.30,0.79,0.47
2018-09-30,24.49,272.06,13.08,1.10,0.64
2018-06-30,21.58,51.38,0.00,0.98,0.56
2018-03-31,25.61,40.66,0.00,1.13,0.66
2017-12-31,25.72,40.82,0.00,1.19,0.67
2017-09-30,29.12,14.07,0.00,1.32,0.73
2017-06-30,24.95,12.05,7.95,1.18,0.62
2017-03-31,25.28,12.39,8.89,1.24,0.60
2016-12-31,20.50,9.85,7.87,1.05,0.48
2016-09-30,23.59,9.51,3.85,0.62,0.54
2016-06-30,21.93,13.37,3.84,0.58,0.44
2016-03-31,25.57,23.67,4.19,0.68,0.46
2015-12-31,24.18,14.06,3.78,0.65,0.40
2015-09-30,21.99,18.96,3.75,0.59,0.33
2015-06-30,23.87,10.85,3.58,0.61,0.35
2015-03-31,28.65,9.42,4.42,0.75,0.42
2014-12-31,30.73,9.60,4.34,0.77,0.45
2014-09-30,29.20,8.02,4.53,0.68,0.44
2014-06-30,27.33,7.51,3.59,0.62,0.41
2014-03-31,24.70,6.86,2.97,0.57,0.36
2013-12-31,26.45,7.35,3.79,0.62,0.39
2013-09-30,22.26,6.05,2.47,0.55,0.34
2013-06-30,19.51,5.36,2.58,0.49,0.31
2013-03-31,18.38,5.00,2.82,0.47,0.29
2012-12-31,14.48,4.11,2.14,0.37,0.23
2012-09-30,15.49,4.40,3.02,0.39,0.24
2012-06-30,16.51,4.64,3.71,0.43,0.26
2012-03-31,16.85,4.73,3.56,0.45,0.27
2011-12-31,16.52,4.64,3.47,0.45,0.26
2011-09-30,14.39,4.80,2.84,0.38,0.22
2011-06-30,21.37,7.63,4.24,0.56,0.33
2011-03-31,21.77,8.50,3.71,0.59,0.33
2010-12-31,23.45,14.30,3.20,0.66,0.36
2010-09-30,20.99,10.71,2.67,0.59,0.31
2010-06-30,16.24,8.83,1.66,0.48,0.24
2010-03-31,19.60,10.65,1.78,0.58,0.28
2009-12-31,16.93,7.70,1.73,0.51,0.24
2009-09-30,15.42,11.01,2.59,0.48,0.22
2009-06-30,12.84,6.42,3.01,0.41,0.17
2009-03-31,8.96,3.86,2.67,0.32,0.12
2008-12-31,15.56,14.96,4.47,0.53,0.20
2008-09-30,22.38,8.35,3.18,0.65,0.28
2008-06-30,26.22,10.09,3.73,0.72,0.33
2008-03-31,28.86,10.46,4.38,0.80,0.38
2007-12-31,31.12,6.48,4.38,0.83,0.42
2007-09-30,33.25,8.23,5.43,0.98,0.47
2007-06-30,35.43,6.92,5.05,1.10,0.52
2007-03-31,32.38,6.43,5.08,1.06,0.48
2006-12-31,32.50,6.66,5.17,1.09,0.48
