Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,156.67,0.00,42.67,2.73,4.64
2020-09-30,135.92,0.00,37.02,2.37,3.99
2020-06-30,118.95,743.46,27.37,2.11,3.50
2020-03-31,100.53,55.54,17.24,1.75,2.67
2019-12-31,148.51,27.15,28.88,2.47,3.84
2019-09-30,135.98,0.00,27.03,2.31,3.53
2019-06-30,116.42,0.00,25.02,2.05,3.03
2019-03-31,126.01,0.00,23.59,2.24,3.27
2018-12-31,102.15,0.00,15.89,1.85,2.63
2018-09-30,129.18,14.85,19.98,2.16,3.33
2018-06-30,109.30,13.03,16.86,1.85,2.82
2018-03-31,106.71,12.72,16.17,1.81,2.77
2017-12-31,117.83,13.08,22.03,2.03,3.07
2017-09-30,114.11,35.88,17.94,2.21,3.00
2017-06-30,124.87,35.88,22.15,2.46,3.27
2017-03-31,118.53,48.98,22.07,2.41,3.09
2016-12-31,99.98,68.01,18.36,2.07,2.63
2016-09-30,125.67,98.18,25.40,2.58,3.28
2016-06-30,116.13,190.38,30.25,2.43,3.07
2016-03-31,102.66,0.00,30.36,2.12,2.94
2015-12-31,98.55,273.74,38.52,2.02,3.07
2015-09-30,90.04,79.68,39.08,1.84,3.10
2015-06-30,104.45,52.75,30.27,2.10,3.89
2015-03-31,112.16,28.61,31.83,2.90,4.15
2014-12-31,108.05,25.79,25.83,2.80,3.97
2014-09-30,95.60,20.60,23.74,2.47,3.50
2014-06-30,98.54,21.52,23.38,2.58,3.63
2014-03-31,89.55,20.17,22.88,2.41,3.31
2013-12-31,88.02,19.87,22.56,2.37,3.26
2013-09-30,77.42,19.60,19.27,2.15,2.92
2013-06-30,70.46,17.31,15.85,2.02,2.70
2013-03-31,70.54,16.03,14.78,2.07,2.75
2012-12-31,62.34,14.53,12.35,1.82,2.46
2012-09-30,63.07,14.74,12.20,1.88,2.54
2012-06-30,59.87,14.02,11.90,1.83,2.45
2012-03-31,59.62,14.51,11.72,1.85,2.49
2011-12-31,49.41,12.29,10.27,1.59,2.12
2011-09-30,49.46,14.85,11.52,1.59,2.17
2011-06-30,58.45,17.82,14.14,1.85,2.64
2011-03-31,55.98,18.42,13.41,1.83,2.61
2010-12-31,49.65,16.72,10.83,1.68,2.38
2010-09-30,48.40,13.71,9.79,1.64,2.37
2010-06-30,49.99,15.29,9.91,1.76,2.49
2010-03-31,54.75,15.96,11.77,1.94,2.79
2009-12-31,54.67,16.42,13.27,1.98,2.90
2009-09-30,49.43,14.80,16.66,1.76,2.71
2009-06-30,39.40,10.97,16.87,1.45,2.20
2009-03-31,33.76,9.38,14.46,1.31,1.89
2008-12-31,37.38,10.08,15.51,1.48,2.08
2008-09-30,59.71,14.63,17.88,2.39,3.32
2008-06-30,62.94,18.96,21.50,2.57,3.58
2008-03-31,72.01,21.82,22.86,2.92,4.26
2007-12-31,61.18,18.77,19.29,2.61,3.74
2007-09-30,74.90,23.70,30.47,3.34,4.79
2007-06-30,78.51,21.05,25.87,3.51,5.16
2007-03-31,78.99,22.13,25.17,3.65,5.37
2006-12-31,72.49,21.26,22.56,3.49,5.11
