Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,490.94,86.74,29.57,12.24,5.95
2020-12-31,384.33,67.90,23.15,9.58,4.66
2020-09-30,252.46,28.82,18.67,6.97,3.15
2020-06-30,255.95,28.16,17.76,7.57,3.21
2020-03-31,183.60,19.33,14.48,5.64,2.24
2019-12-31,255.44,25.62,22.35,7.50,3.11
2019-09-30,206.37,22.98,16.39,6.58,2.54
2019-06-30,209.49,23.72,17.45,7.27,2.60
2019-03-31,209.53,26.66,17.52,7.71,2.65
2018-12-31,159.23,20.55,11.99,6.43,2.05
2018-09-30,176.83,30.97,14.48,7.84,2.33
2018-06-30,143.25,45.62,16.17,7.17,1.94
2018-03-31,139.19,64.14,17.79,7.58,1.93
2017-12-31,103.80,324.38,13.02,6.63,1.48
2017-09-30,108.58,184.03,20.57,7.10,1.57
2017-06-30,100.52,0.00,13.31,6.57,1.46
2017-03-31,91.25,0.00,14.40,6.06,1.32
2016-12-31,85.76,0.00,14.60,5.73,1.24
2016-09-30,69.61,0.00,20.72,4.92,1.00
2016-06-30,50.10,0.00,21.81,3.24,0.71
2016-03-31,69.00,0.00,52.93,4.19,0.98
2015-12-31,69.65,0.00,0.00,4.07,0.97
2015-09-30,76.55,0.00,30.57,4.36,1.12
2015-06-30,111.05,0.00,73.55,6.08,1.97
2015-03-31,90.72,0.00,27.20,4.58,2.04
2014-12-31,77.41,122.87,19.03,3.84,2.38
2014-09-30,70.97,28.73,22.79,3.36,3.12
2014-06-30,82.32,28.00,21.74,3.99,3.74
2014-03-31,69.41,23.14,17.78,3.47,3.25
2013-12-31,54.08,20.48,15.87,2.84,2.66
2013-09-30,45.56,18.22,14.00,2.51,2.32
2013-06-30,43.44,19.22,13.21,2.46,2.25
2013-03-31,47.13,20.95,15.80,2.71,2.47
2012-12-31,39.31,16.59,12.67,2.34,2.05
2012-09-30,37.49,15.89,12.89,2.31,1.99
2012-06-30,34.36,12.82,14.08,2.16,1.84
2012-03-31,41.18,15.31,24.75,2.68,2.24
2011-12-31,35.78,11.15,37.73,2.40,1.99
2011-09-30,30.94,10.18,35.09,2.17,1.77
2011-06-30,42.17,15.85,43.86,3.02,2.51
2011-03-31,39.24,16.02,28.98,2.85,2.43
2010-12-31,37.99,21.46,19.63,2.90,2.45
2010-09-30,33.64,21.43,16.89,2.60,2.39
2010-06-30,25.37,19.52,13.13,2.01,1.88
2010-03-31,29.60,27.92,15.49,2.37,2.30
2009-12-31,28.35,35.44,20.85,2.32,2.29
2009-09-30,25.93,0.00,17.99,2.16,1.94
2009-06-30,23.66,0.00,17.14,2.00,1.72
2009-03-31,19.02,0.00,19.38,1.63,1.32
2008-12-31,20.26,0.00,13.42,1.73,1.35
2008-09-30,27.85,16.78,19.66,1.98,1.89
2008-06-30,32.64,19.78,21.08,2.31,2.31
2008-03-31,33.32,20.44,16.18,2.42,2.52
2007-12-31,34.70,21.69,17.57,2.55,2.77
2007-09-30,36.49,25.17,18.58,2.66,3.01
2007-06-30,38.74,38.74,29.20,2.84,3.34
2007-03-31,38.61,37.85,39.07,2.93,3.44
2006-12-31,34.79,34.79,35.84,2.73,3.25
