year,annual_change,initialPE,initialFCF,initialPB,initialPS
2020,16.26,28.666666666666668,24.52,20.133809523809525,2.6233333333333335
2019,28.88,20.4428125,20.03625,-14.1259375,2.48125
2018,-6.24,25.699375,21.515,14.485625,2.7696875
2017,19.42,21.29935483870968,21.519032258064517,115.51387096774192,2.568709677419355
2016,9.54,24.295666666666666,22.921333333333333,0.7323333333333342,2.45
2015,-0.73,21.665,21.694666666666667,8.263666666666667,2.079
2014,11.39,17.739333333333335,18.685,6.3549999999999995,1.803
2013,29.6,15.244333333333334,15.873666666666667,7.955,1.497
2012,13.41,13.619333333333334,16.651333333333334,8.049666666666667,1.3719999999999999
2011,0.0,12.477333333333334,13.585666666666667,5.520333333333333,1.2686666666666666
2010,12.78,13.507333333333333,11.485333333333333,10.979,1.1400000000000001
2009,23.45,10.722666666666667,15.428,3.2676666666666665,0.963
2008,-38.49,14.916206896551724,20.693448275862067,3.157241379310345,1.2962068965517242
2007,3.53,14.463103448275863,16.18448275862069,-2.8572413793103446,1.293793103448276
