year,annual_change,initialPE,initialFCF,initialPB,initialPS
2020,16.26,6.726666666666667,16.973333333333333,2.0433333333333334,1.9633333333333332
2019,28.88,21.825416666666666,89.31,1.4791666666666667,1.5579166666666666
2018,-6.24,80.66041666666668,61.68541666666666,1.9416666666666667,2.6191666666666666
2017,19.42,13.61125,40.0425,1.865,3.382083333333333
2016,9.54,9.125833333333333,37.654583333333335,1.3354166666666667,1.9679166666666668
2015,-0.73,19.937916666666666,12.808333333333334,1.6995833333333334,1.7479166666666666
2014,11.39,16.239166666666666,17.2125,1.9941666666666666,2.2845833333333334
2013,29.6,18.737272727272728,37.78727272727273,1.5986363636363636,1.7086363636363637
2012,13.41,14.074285714285715,51.77238095238095,1.8447619047619048,1.7152380952380952
2011,0.0,19.4465,18.6405,1.7705,1.7125
2010,12.78,14.6475,24.201,1.618,1.705
2009,23.45,6.1575,12.9405,1.2065,0.8075
2008,-38.49,11.0715,22.177,2.4855,1.8385
2007,3.53,8.579,20.515,2.0735,1.45
