year,annual_change,initialPE,initialFCF,initialPB,initialPS
2020,16.26,45.216206896551725,47.23137931034483,11.892758620689655,5.850689655172414
2019,28.88,35.40269841269841,29.747460317460316,-22.82095238095238,4.361587301587302
2018,-6.24,66.61587301587302,28.494920634920636,1.6847619047619047,4.457619047619048
2017,19.42,33.39126984126984,27.243492063492063,3.937936507936508,3.7993650793650793
2016,9.54,35.41968253968254,43.05063492063492,5.796825396825397,4.898412698412699
2015,-0.73,47.743870967741934,33.52854838709678,3.6543548387096774,5.013064516129032
2014,11.39,28.589180327868853,50.84016393442623,4.030327868852459,4.038524590163934
2013,29.6,16.9864406779661,17.256949152542372,3.0661016949152544,2.9935593220338985
2012,13.41,61.849830508474575,15.448813559322033,2.889322033898305,2.9396610169491524
2011,0.0,17.776379310344826,18.89206896551724,2.8039655172413793,3.6770689655172415
2010,12.78,14.305344827586207,16.738793103448277,2.104655172413793,5.348448275862069
2009,23.45,15.973620689655172,20.537586206896552,2.6686206896551723,3.935344827586207
2008,-38.49,17.986379310344827,28.18844827586207,4.65,5.141206896551724
2007,3.53,18.666551724137932,24.796724137931033,3.8429310344827585,19.529137931034484
