year,annual_change,initialPE,initialFCF,initialPB,initialPS
2020,16.26,14.2675,21.490000000000002,3.195,2.3875
2019,28.88,20.8932,21.608800000000002,2.1068,1.8004
2018,-6.24,27.90458333333333,27.22083333333333,5.935833333333333,2.3516666666666666
2017,19.42,23.964166666666667,18.370416666666667,4.144166666666667,2.04875
2016,9.54,21.160434782608696,17.257826086956523,4.713913043478261,1.7117391304347827
2015,-0.73,20.694782608695654,24.257826086956523,4.288260869565217,1.6099999999999999
2014,11.39,31.378260869565217,23.355217391304347,3.27,1.613913043478261
2013,29.6,17.04695652173913,27.015217391304347,2.878695652173913,1.423913043478261
2012,13.41,14.64304347826087,26.6,2.440434782608696,1.2217391304347827
2011,0.0,17.686363636363637,21.11090909090909,2.8495454545454546,1.510909090909091
2010,12.78,24.308636363636364,13.860909090909091,2.6036363636363635,1.3927272727272728
2009,23.45,12.498181818181818,14.10590909090909,2.3163636363636364,0.8127272727272727
2008,-38.49,12.722272727272728,16.992272727272727,3.0304545454545453,1.479090909090909
2007,3.53,13.988636363636363,17.98090909090909,2.705,1.2540909090909091
