,code,industry,price,pe-ratio,price-fcf,price-book,price-sales
0,MMM,Industrials,177.63,19.2,15.34,7.94,3.21
1,ABT,Health Care,122.38,94.14,47.57,6.87,6.32
2,ABBV,Health Care,108.69,38.14,12.11,12.55,3.99
3,ABMD,Health Care,323.78,73.75,62.66,11.61,18.2
4,ACN,Information Technology,259.27,31.93,19.91,8.92,3.75
5,ATVI,Communication Services,95.69,43.89,38.3,5.14,9.2
6,ADBE,Information Technology,476.62,43.97,43.55,17.21,17.99
7,AMD,Information Technology,86.94,42.62,135.06,18.04,10.83
8,AAP,Consumer Discretionary,166.15,30.21,17.19,3.02,1.13
9,AES,Utilities,28.00,0.0,30.02,4.57,1.96
10,AFL,Financials,49.85,9.34,6.21,1.08,1.61
11,A,Health Care,125.02,74.86,48.58,7.85,7.03
12,APD,Materials,263.26,30.9,81.93,4.46,6.52
13,AKAM,Information Technology,97.54,36.4,31.87,3.87,5.04
14,ALK,Industrials,67.45,0.0,68.15,2.41,2.35
15,ALB,Materials,160.90,58.94,0.0,3.96,5.49
16,ARE,Real Estate,163.91,63.29,0.0,1.67,10.84
17,ALXN,Health Care,154.49,57.22,11.84,2.91,5.64
18,ALGN,Health Care,573.26,28.03,129.24,14.9,18.37
19,ALLE,Industrials,109.33,45.94,22.89,11.98,3.73
20,LNT,Utilities,47.53,21.41,0.0,2.01,3.46
21,ALL,Financials,108.36,12.0,6.86,1.21,0.76
22,GOOGL,Communication Services,2083.81,57.25,35.66,6.32,8.38
23,GOOG,Communication Services,2095.17,57.56,35.86,6.36,8.43
24,MO,Consumer Staples,45.00,33.09,10.27,25.88,3.2
25,AMZN,Consumer Discretionary,3159.53,114.14,51.95,17.01,4.17
26,AMCR,Materials,11.41,47.54,16.72,3.67,1.45
27,AEE,Utilities,71.40,23.49,0.0,2.04,3.07
28,AAL,Industrials,21.82,0.0,0.0,0.0,0.57
29,AEP,Utilities,77.10,19.92,0.0,1.85,2.57
30,AXP,Financials,139.89,37.2,27.41,4.9,2.95
31,AIG,Financials,45.43,0.0,32.32,0.61,0.87
32,AMT,Real Estate,224.78,53.14,35.69,23.83,12.78
33,AWK,Utilities,149.94,41.08,0.0,4.17,7.24
34,AMP,Financials,232.10,22.25,5.52,4.54,2.45
35,ABC,Health Care,105.20,0.0,8.2,0.0,0.11
36,AME,Industrials,123.01,32.63,23.56,4.77,6.26
37,AMGN,Health Care,229.99,18.68,13.72,14.14,5.35
38,APH,Information Technology,129.55,33.13,30.0,7.11,4.62
39,ADI,Information Technology,161.76,59.25,31.54,4.94,10.28
40,ANSS,Information Technology,385.37,87.19,71.41,9.22,21.66
41,ANTM,Health Care,305.79,17.07,8.04,2.26,0.64
42,AON,Financials,233.70,37.88,21.88,14.8,4.92
43,AOS,Industrials,61.30,28.78,19.73,5.37,3.44
44,APA,Energy,20.81,0.0,37.32,0.0,1.69
45,AAPL,Information Technology,125.35,33.95,26.95,31.84,7.4
46,AMAT,Information Technology,122.81,41.49,33.52,10.61,6.23
47,APTV,Consumer Discretionary,155.22,22.83,50.08,5.17,3.15
48,ADM,Consumer Staples,58.48,18.57,0.0,1.62,0.51
49,ANET,Information Technology,286.36,50.42,26.47,7.02,9.82
50,AJG,Financials,123.79,29.47,14.6,3.85,3.44
51,AIZ,Financials,128.13,27.5,7.63,1.27,0.79
52,T,Communication Services,29.38,24.69,7.54,1.07,1.23
53,ATO,Utilities,88.67,25.78,0.0,1.58,3.85
54,ADSK,Information Technology,298.91,155.68,47.68,948.32,18.18
55,ADP,Information Technology,176.62,30.61,25.91,12.82,5.22
56,AZO,Consumer Discretionary,1189.86,15.59,11.42,0.0,2.2
57,AVB,Real Estate,185.00,53.62,73.69,2.42,11.29
58,AVY,Materials,180.52,41.59,29.37,11.29,2.18
59,BKR,Energy,25.15,0.0,11.03,1.51,0.82
60,BLL,Materials,86.26,49.29,89.99,8.47,2.43
61,BAC,Financials,36.38,28.42,8.33,1.17,3.42
62,BK,Financials,44.26,14.56,15.93,0.87,2.44
63,BAX,Health Care,78.51,36.69,35.02,4.54,3.48
64,BDX,Health Care,246.71,47.35,20.41,2.91,3.85
65,BRK.B,Financials,248.45,16.52,22.14,0.82,2.44
66,BBY,Consumer Discretionary,113.46,17.24,6.21,7.16,0.66
67,BIO,Health Care,594.74,4.71,37.65,1.8,7.04
68,BIIB,Health Care,282.74,12.78,11.99,4.61,3.43
69,BLK,Financials,712.10,32.56,39.82,3.2,6.8
70,BA,Industrials,229.34,0.0,0.0,0.0,2.23
71,BKNG,Consumer Discretionary,2443.50,73.6,75.91,20.37,11.52
72,BWA,Consumer Discretionary,46.00,66.67,16.67,2.29,0.98
73,BXP,Real Estate,104.69,19.07,26.89,1.92,5.89
74,BSX,Health Care,39.53,0.0,49.6,3.64,5.68
75,BMY,Health Care,62.59,0.0,10.63,3.67,3.34
76,AVGO,Information Technology,480.88,76.45,17.44,8.2,8.46
77,BR,Information Technology,145.08,36.64,29.21,11.72,3.63
78,BF.B,Consumer Staples,75.04,39.08,49.67,14.94,10.78
79,CHRW,Industrials,90.03,34.23,23.76,6.53,0.76
80,COG,Energy,19.20,30.97,96.1,3.61,5.29
81,CDNS,Information Technology,139.42,36.21,46.59,16.23,15.46
82,CPB,Consumer Staples,46.24,7.95,12.55,5.05,1.59
83,COF,Financials,124.48,0.0,3.72,0.97,1.8
84,CAH,Health Care,52.55,11.2,5.15,7.82,0.1
85,KMX,Consumer Discretionary,121.84,26.84,36.94,4.81,1.08
86,CCL,Consumer Discretionary,27.01,0.0,0.0,1.43,3.33
87,CARR,Industrials,37.45,,,4.94,
88,CTLT,Health Care,115.15,85.93,0.0,5.13,5.44
89,CAT,Industrials,222.47,40.75,24.49,7.89,2.92
90,CBOE,Financials,104.20,21.75,24.32,3.69,4.38
91,CBRE,Real Estate,77.18,24.35,16.15,3.93,1.09
92,CDW,Information Technology,162.10,42.66,30.01,18.69,1.27
93,CE,Materials,141.21,8.32,17.09,4.14,2.97
94,CNC,Health Care,59.35,19.15,52.36,1.33,0.31
95,CNP,Utilities,20.81,0.0,0.0,1.35,0.88
96,CERN,Health Care,70.29,33.96,29.29,4.89,3.95
97,CF,Materials,48.61,45.43,11.3,1.9,2.53
98,SCHW,Financials,64.44,41.84,0.0,2.65,8.0
99,CHTR,Communication Services,608.51,64.8,21.02,3.85,2.67
100,CVX,Energy,103.31,0.0,66.2,1.46,2.04
101,CMG,Consumer Discretionary,1449.06,115.92,141.75,20.09,6.87
102,CB,Financials,170.66,69.66,8.95,1.37,2.15
