code,name,industry
MMM,3m,Industrials
ABT,abbott,Health Care
ABBV,abbvie,Health Care
ABMD,abiomed,Health Care
ACN,accenture,Information Technology
ATVI,activision-blizzard,Communication Services
ADBE,adobe,Information Technology
AMD,advanced-micro-devices,Information Technology
AAP,advance-auto-parts,Consumer Discretionary
AES,aes,Utilities
AFL,aflac,Financials
A,agilent-technologies,Health Care
APD,air-products-chemicals,Materials
AKAM,akamai-technologies,Information Technology
ALK,alaska-air-group,Industrials
ALB,albemarle,Materials
ARE,alexandria-real-estate-equities,Real Estate
ALXN,alexion-pharmaceuticals,Health Care
ALGN,align-technology,Health Care
ALLE,allegion,Industrials
LNT,alliant-energy,Utilities
ALL,allstate,Financials
GOOGL,alphabet,Communication Services
GOOG,alphabet,Communication Services
MO,altria-group,Consumer Staples
AMZN,amazon,Consumer Discretionary
AMCR,amcor,Materials
AEE,ameren,Utilities
AAL,american-airlines-group,Industrials
AEP,american-electric-power,Utilities
AXP,american-express,Financials
AIG,american-international-group,Financials
AMT,american-tower,Real Estate
AWK,american-water-works,Utilities
AMP,ameriprise-financial,Financials
ABC,amerisourcebergen,Health Care
AME,ametek,Industrials
AMGN,amgen,Health Care
APH,amphenol,Information Technology
ADI,analog-devices,Information Technology
ANSS,ansys,Information Technology
ANTM,anthem,Health Care
AON,aon,Financials
AOS,ao-smith,Industrials
APA,apache,Energy
AAPL,apple,Information Technology
AMAT,applied-materials,Information Technology
APTV,aptiv,Consumer Discretionary
ADM,archer-daniels-midland,Consumer Staples
ANET,arista-networks,Information Technology
AJG,arthur-j-gallagher,Financials
AIZ,assurant,Financials
T,at&t,Communication Services
ATO,atmos-energy,Utilities
ADSK,autodesk,Information Technology
ADP,automatic-data-processing,Information Technology
AZO,autozone,Consumer Discretionary
AVB,avalonbaymmunities,Real Estate
AVY,avery-dennison,Materials
BKR,baker-hughes,Energy
BLL,ball,Materials
BAC,bank-of-america,Financials
BK,the-bank-of-new-york-mellon,Financials
BAX,baxter-international,Health Care
BDX,becton-dickinson,Health Care
BRK.B,berkshire-hathaway,Financials
BBY,best-buy,Consumer Discretionary
BIO,bio-rad,Health Care
BIIB,biogen,Health Care
BLK,blackrock,Financials
BA,boeing,Industrials
BKNG,booking-holdings,Consumer Discretionary
BWA,borgwarner,Consumer Discretionary
BXP,boston-properties,Real Estate
BSX,boston-scientific,Health Care
BMY,bristol-myers-squibb,Health Care
AVGO,broadcom,Information Technology
BR,broadridge-financial-solutions,Information Technology
BF.B,brown-forman,Consumer Staples
CHRW,c-h-robinson-worldwide,Industrials
COG,cabot-oil-gas,Energy
CDNS,cadence-design-systems,Information Technology
CPB,campbell-soup,Consumer Staples
COF,capital-one-financial,Financials
CAH,cardinal-health,Health Care
KMX,carmax,Consumer Discretionary
CCL,carnival,Consumer Discretionary
CARR,carrier-global,Industrials
CTLT,catalent,Health Care
CAT,caterpillar,Industrials
CBOE,cboe-global-markets,Financials
CBRE,cbre-group,Real Estate
CDW,cdw,Information Technology
CE,celanese,Materials
CNC,centene,Health Care
CNP,centerpoint-energy,Utilities
CERN,cerner,Health Care
CF,cf-industries-holdings,Materials
SCHW,charles-schwab,Financials
CHTR,chartermmunications,Communication Services
CVX,chevron,Energy
CMG,chipotle-mexican-grill,Consumer Discretionary
CB,chubb-limited,Financials
CHD,church-dwight,Consumer Staples
CI,cigna,Health Care
CINF,cincinnati-financial,Financials
CTAS,cintas,Industrials
CSCO,cisco-systems,Information Technology
C,citigroup,Financials
CFG,citizens-financial-group,Financials
CTXS,citrix-systems,Information Technology
CLX,the-clorox,Consumer Staples
CME,cme-group,Financials
CMS,cms-energy,Utilities
KO,coca-cola,Consumer Staples
CTSH,cognizant-technology-solutions,Information Technology
CL,colgate-palmolive,Consumer Staples
CMCSA,comcast,Communication Services
CMA,comerica,Financials
CAG,conagra-brands,Consumer Staples
COP,conocophillips,Energy
ED,consolidated-edison,Utilities
STZ,constellation-brands,Consumer Staples
COO,theopermpanies,Health Care
CPRT,copart,Industrials
GLW,corning,Information Technology
CTVA,corteva,Materials
COST,costco-wholesale,Consumer Staples
CCI,crown-castle-international,Real Estate
CSX,csx,Industrials
CMI,cummins,Industrials
CVS,cvs-health,Health Care
DHI,d-r-horton,Consumer Discretionary
DHR,danaher,Health Care
DRI,darden-restaurants,Consumer Discretionary
DVA,davita,Health Care
DE,deere,Industrials
DAL,delta-air-lines,Industrials
XRAY,dentsply-sirona,Health Care
DVN,devon-energy,Energy
DXCM,dexcom,Health Care
FANG,diamondback-energy,Energy
DLR,digital-realty-trust,Real Estate
DFS,discover-financial-services,Financials
DISCA,discovery,Communication Services
DISCK,discovery,Communication Services
DISH,dish-network,Communication Services
DG,dollar-general,Consumer Discretionary
DLTR,dollar-tree,Consumer Discretionary
D,dominion-energy,Utilities
DPZ,dominos-pizza,Consumer Discretionary
DOV,dover,Industrials
DOW,dow,Materials
DTE,dte-energy,Utilities
DUK,duke-energy,Utilities
DRE,duke-realty,Real Estate
DD,dupont-de-nemours,Materials
DXC,dxc-technology,Information Technology
EMN,eastman-chemical,Materials
ETN,eaton,Industrials
EBAY,ebay,Consumer Discretionary
ECL,ecolab,Materials
EIX,edison-intl,Utilities
EW,edwards-lifesciences,Health Care
EA,electronic-arts,Communication Services
EMR,emerson-electric,Industrials
ENPH,enphase-energy,Information Technology
ETR,entergy,Utilities
EOG,eog-resources,Energy
EFX,equifax,Industrials
EQIX,equinix,Real Estate
EQR,equity-residential,Real Estate
ESS,essex-property-trust,Real Estate
EL,estée-laudermpanies,Consumer Staples
ETSY,etsy,Consumer Discretionary
EVRG,evergy,Utilities
ES,eversource-energy,Utilities
RE,everest-re-group,Financials
EXC,exelon,Utilities
EXPE,expedia-group,Consumer Discretionary
EXPD,expeditors,Industrials
EXR,extra-space-storage,Real Estate
XOM,exxon-mobil,Energy
FFIV,f5-networks,Information Technology
FB,facebook,Communication Services
FAST,fastenal,Industrials
FRT,federal-realty-investment-trust,Real Estate
FDX,fedex,Industrials
FIS,fidelity-national-information-services,Information Technology
FITB,fifth-third-bancorp,Financials
FE,firstenergy,Utilities
FRC,first-republic-bank,Financials
FISV,fiserv,Information Technology
FLT,fleetcor-technologies,Information Technology
FLIR,flir-systems,Information Technology
FLS,flowserve,Industrials
FMC,fmc,Materials
F,ford-motor,Consumer Discretionary
FTNT,fortinet,Information Technology
FTV,fortive,Industrials
FBHS,fortune-brands-home-security,Industrials
FOXA,fox,Communication Services
FOX,fox,Communication Services
BEN,franklin-resources,Financials
FCX,freeport-mcmoran,Materials
GPS,gap,Consumer Discretionary
GRMN,garmin,Consumer Discretionary
IT,gartner,Information Technology
GD,general-dynamics,Industrials
GE,general-electric,Industrials
GIS,general-mills,Consumer Staples
GM,general-motors,Consumer Discretionary
GPC,genuine-parts,Consumer Discretionary
GILD,gilead-sciences,Health Care
GL,globe-life,Financials
GPN,global-payments,Information Technology
GS,goldman-sachs-group,Financials
GWW,grainger-(ww),Industrials
HAL,halliburton,Energy
HBI,hanesbrands,Consumer Discretionary
HIG,hartford-financial-,Financials
HAS,hasbro,Consumer Discretionary
HCA,hca-healthcare,Health Care
PEAK,healthpeak-properties,Real Estate
HSIC,henry-schein,Health Care
HSY,the-hershey,Consumer Staples
HES,hess,Energy
HPE,hewlett-packard-enterprise,Information Technology
