FIS,Information Technology,26.51,0.94,0.15,1.34,371.37
MAR,Consumer Discretionary,4.16,0.66,17.61,0.67,190.3
BLL,Materials,1.37,2.73,0.91,0.53,184.26
ADSK,Information Technology,2.57,1.61,88.4,3.82,183.44
APD,Materials,0.67,2.72,0.04,1.34,180.42
GOOG,Communication Services,0.94,1.19,0.58,1.75,177.82
GOOGL,Communication Services,0.93,1.19,0.58,1.74,177.43
AVY,Materials,0.65,0.94,1.0,0.43,173.93
AMZN,Consumer Discretionary,1.9,1.77,1.6,0.88,172.58
ATVI,Communication Services,0.76,1.34,0.49,1.99,171.45
ALB,Materials,0.71,0.0,0.35,1.05,170.47
AAP,Consumer Discretionary,0.49,0.57,0.28,0.23,168.63
AMCR,Materials,0.77,0.55,0.33,0.3,168.56
APTV,Consumer Discretionary,0.37,1.64,0.47,0.64,168.4
AZO,Consumer Discretionary,0.26,0.38,0.0,0.46,168.19
T,Communication Services,0.39,0.25,0.1,0.25,167.09
ALK,Industrials,0.0,2.08,0.2,0.45,162.12
AAL,Industrials,0.0,0.0,0.0,0.1,160.88
AMGN,Health Care,0.3,0.46,1.3,1.11,159.41
ABMD,Health Care,1.19,2.13,1.09,3.84,159.15
ALGN,Health Care,0.47,4.44,1.42,3.92,159.12
ABBV,Health Care,0.6,0.39,1.12,0.79,159.04
ABC,Health Care,0.0,0.27,0.0,0.02,158.85
ANTM,Health Care,0.3,0.35,0.2,0.13,158.71
ALXN,Health Care,0.93,0.39,0.27,1.17,158.63
A,Health Care,0.89,1.63,0.73,1.52,158.58
MMM,Industrials,0.31,0.5,0.72,0.66,158.47
ABT,Health Care,1.53,1.58,0.63,1.31,158.02
AOS,Industrials,0.44,0.64,0.48,0.69,157.12
ANSS,Information Technology,1.45,2.42,0.86,4.57,156.68
AME,Industrials,0.69,0.8,0.44,1.26,154.85
ALLE,Industrials,0.74,0.75,1.11,0.76,154.4
ADI,Information Technology,0.78,1.09,0.46,2.23,152.56
ADBE,Information Technology,0.72,1.48,1.58,3.79,151.91
AAPL,Information Technology,0.57,0.92,3.01,1.57,151.37
ANET,Information Technology,0.56,0.95,0.7,2.3,150.99
AKAM,Information Technology,0.6,1.07,0.36,1.05,150.8
ACN,Information Technology,0.51,0.65,0.8,0.76,150.78
APH,Information Technology,0.55,1.02,0.66,0.97,150.51
ADP,Information Technology,0.47,0.82,1.12,1.03,150.28
AMAT,Information Technology,0.47,1.02,0.94,1.32,149.93
AMD,Information Technology,0.71,4.61,1.7,2.29,146.78
AMT,Real Estate,0.87,1.19,2.19,2.65,135.76
ARE,Real Estate,1.04,0.0,0.15,2.26,135.69
AVB,Real Estate,0.84,2.35,0.21,2.23,135.55
ADM,Consumer Staples,0.47,0.0,0.15,0.1,130.89
MO,Consumer Staples,0.52,0.33,2.3,0.64,129.86
AWK,Utilities,0.69,0.0,0.4,1.55,123.03
AES,Utilities,0.0,1.0,0.42,0.41,121.08
LNT,Utilities,0.29,0.0,0.19,0.69,119.16
ATO,Utilities,0.44,0.0,0.15,0.83,118.67
AEE,Utilities,0.34,0.0,0.19,0.64,118.39
AEP,Utilities,0.33,0.0,0.17,0.54,117.74
AON,Financials,0.6,0.71,1.32,0.99,111.22
AXP,Financials,0.55,0.85,0.42,0.56,111.04
AIZ,Financials,0.43,0.24,0.11,0.16,110.74
AJG,Financials,0.46,0.47,0.34,0.69,110.63
BAC,Financials,0.43,0.26,0.1,0.67,110.63
AMP,Financials,0.35,0.18,0.4,0.49,109.99
BKR,Energy,0.0,0.34,0.13,0.16,109.57
ALL,Financials,0.19,0.22,0.1,0.15,108.77
BK,Financials,0.22,0.5,0.08,0.48,108.76
AFL,Financials,0.15,0.2,0.09,0.32,108.42
APA,Energy,0.0,1.07,0.0,0.3,107.69
AIG,Financials,0.0,0.59,0.05,0.17,106.93
CARR,Industrials,nan,nan,0.45,nan,nan
ENPH,Information Technology,7.68,3.99,5.25,7.01,208.5
CHTR,Communication Services,1.05,0.69,0.35,0.55,183.86
HD,Consumer Discretionary,0.4,0.55,17.88,0.5,182.72
ETSY,Consumer Discretionary,2.04,1.96,3.91,4.33,177.4
ECL,Materials,0.0,1.45,0.9,1.01,175.14
EA,Communication Services,0.59,0.73,0.48,1.55,170.07
FMC,Materials,0.44,0.75,0.42,0.61,169.87
CTVA,Materials,0.82,0.68,0.12,0.49,169.16
EBAY,Consumer Discretionary,0.13,0.78,1.09,0.9,168.99
DPZ,Consumer Discretionary,0.52,1.1,0.0,0.79,168.68
DG,Consumer Discretionary,0.32,0.56,0.64,0.32,168.66
EXPE,Consumer Discretionary,0.0,0.0,0.52,0.89,168.59
DLTR,Consumer Discretionary,0.43,0.52,0.33,0.21,168.56
GM,Consumer Discretionary,0.36,0.26,0.14,0.13,168.29
DHI,Consumer Discretionary,0.24,0.9,0.21,0.27,167.96
DRI,Consumer Discretionary,0.0,1.52,0.65,0.51,167.74
EMN,Materials,0.55,0.38,0.22,0.37,166.61
DISCA,Communication Services,0.4,0.38,0.2,0.67,166.49
DOW,Materials,0.6,0.25,0.31,0.24,166.13
DISCK,Communication Services,0.34,0.32,0.17,0.57,164.96
DD,Materials,0.0,0.55,0.12,0.52,164.69
FB,Communication Services,0.42,1.09,0.55,1.8,162.83
DISH,Communication Services,0.22,0.22,0.13,0.28,162.1
DAL,Industrials,0.0,0.0,0.79,0.35,161.26
XRAY,Health Care,0.0,0.67,0.22,0.71,159.05
DVA,Health Care,0.26,0.31,0.65,0.23,158.95
CVS,Health Care,0.24,0.24,0.12,0.07,158.74
EW,Health Care,1.05,2.72,1.05,2.49,158.59
DHR,Health Care,1.17,1.28,0.4,1.54,158.37
CMI,Industrials,0.33,0.55,0.37,0.38,158.03
CSX,Industrials,0.41,0.9,0.5,1.37,157.79
DOV,Industrials,0.42,0.62,0.47,0.55,157.27
FDX,Industrials,0.45,0.79,0.29,0.18,156.87
FAST,Industrials,0.51,0.95,0.91,0.99,156.82
EMR,Industrials,0.51,0.59,0.52,0.63,156.4
EXPD,Industrials,0.52,0.84,0.58,0.32,156.35
DXCM,Health Care,4.78,4.89,2.01,4.34,156.24
DE,Industrials,0.61,0.41,0.66,0.6,155.3
EFX,Industrials,0.81,1.51,0.66,1.08,154.02
ETN,Industrials,0.9,0.69,0.32,0.59,152.47
FFIV,Information Technology,0.67,0.66,0.47,1.05,152.06
DXC,Information Technology,0.0,1.71,0.1,0.07,144.51
FRT,Real Estate,4.04,0.0,0.27,1.85,135.83
DRE,Real Estate,1.9,0.0,0.27,3.18,135.79
CCI,Real Estate,2.29,2.09,0.69,2.48,135.69
DLR,Real Estate,2.3,0.77,0.19,1.88,135.69
EQR,Real Estate,0.61,0.5,0.21,2.07,135.63
EXR,Real Estate,0.57,1.12,0.51,2.44,135.63
ESS,Real Estate,0.59,1.44,0.25,2.38,135.6
EQIX,Real Estate,3.02,16.22,0.52,2.06,134.95
COST,Consumer Staples,0.59,0.81,0.94,0.19,128.4
