,pe_c,fcf_c,pb_c,ps_c,intercept,industry
Information Technology,0.11629026655919963,-0.8626025673714564,-0.07997753269804297,-3.023224542961681,116.66347564269542,Information Technology
Industrials,-0.07948154035273954,-0.7698651938723188,-0.024385115942155977,-7.954141776550319,115.8905419845268,Industrials
Health Care,0.05259860053665022,-0.4431810330429139,0.08306098725660602,1.0392738027377932,112.04944202745668,Health Care
Financials,-0.33764760640163516,-0.9117767143461077,0.11574406228864154,-0.006027142161310173,105.63919663731374,Financials
Communication Services,1.375317159674754,-1.22734627140244,-0.016715170373261812,-4.54104817853121,117.92557592556477,Communication Services
Consumer Discretionary,-0.3469730646287046,-1.035046516146906,-0.14702434229786698,4.517162646989019,115.22160353420207,Consumer Discretionary
Materials,-1.3907694810443656,-1.0322403704436112,-0.5110737600797952,-24.88266782586319,127.1877228039205,Materials
Utilities,-1.717468955840794,0.0533666339880261,3.6372749042991392,-19.13706239715819,114.74501608301019,Utilities
Real Estate,-0.05707143146281384,0.13965477475259314,0.015017005719853871,-4.234736978446408,117.72428496110471,Real Estate
Consumer Staples,-0.9163422344500692,-5.917023406184052,0.024873449123750113,-0.41785207924844747,116.47868692065505,Consumer Staples
Energy,0.654656882146034,-0.08497857655177166,-0.5246306088072294,-4.322682396686494,108.03507390292653,Energy
