code,industry,stockratio,initialPE,initialFCF,initialPB,initialPS
MMM,Industrials,137.29854850632023,10.46,14.63,3.53,1.75
ABT,Health Care,130.26843364868733,9.2,9.4,1.85,1.28
ABMD,Health Care,73.98205796435211,0.0,0.0,4.87,8.69
ACN,Information Technology,161.8758999191686,12.7,11.24,10.29,1.03
ATVI,Communication Services,98.54723911544235,29.58,40.21,32.75,3.61
ADBE,Information Technology,109.62970163077306,34.54,19.28,5.18,8.01
AMD,Information Technology,169.9719561636531,0.0,0.0,1.52,0.71
AAP,Consumer Discretionary,142.13865228314526,16.0,18.83,3.51,0.79
AES,Utilities,92.13137796057897,0.0,0.0,3.11,0.77
AFL,Financials,102.48653417443407,13.59,4.77,2.49,1.45
A,Health Care,88.38791641248628,15.57,12.0,2.8,1.85
APD,Materials,113.88977961249458,13.78,19.41,2.53,1.59
AKAM,Information Technology,96.44810308156458,62.91,46.92,4.23,10.05
ALK,Industrials,181.75057883234888,7.1,0.0,0.83,0.26
ALB,Materials,120.14938355201383,14.21,22.13,2.49,1.4
ARE,Real Estate,90.37496147736168,25.56,0.0,1.41,5.11
ALXN,Health Care,171.35552980372333,0.0,0.0,27.96,37.8
ALGN,Health Care,140.6937586786288,33.36,26.28,7.1,4.17
LNT,Utilities,108.21462878770424,6.46,2.87,0.93,0.81
ALL,Financials,81.82808614057582,4.95,4.45,0.99,0.63
GOOGL,Communication Services,118.07613484392918,52.23,65.03,9.57,13.2
MO,Consumer Staples,128.14665374668934,2.41,2.37,1.24,1.26
AMZN,Consumer Discretionary,191.2280035549385,82.71,33.26,32.2,2.64
AEE,Utilities,77.17909368798986,10.49,0.0,0.96,0.86
AAL,Industrials,43.29637737668056,0.0,2.55,1.3,0.18
AEP,Utilities,108.45604018546706,9.92,0.0,1.08,0.81
AXP,Financials,108.00732989470494,12.41,6.98,4.38,1.59
AIG,Financials,3.4537228932061534,17.49,3.32,1.08,1.03
AMT,Real Estate,133.55414828093555,277.59,28.56,4.77,10.61
AMP,Financials,96.84362696539203,12.01,21.3,1.19,1.16
ABC,Health Care,156.1759390269405,14.58,9.77,2.08,0.1
AME,Industrials,108.91862750940066,18.11,19.23,3.73,2.16
AMGN,Health Care,160.42102675960152,13.28,10.06,2.25,2.83
APH,Information Technology,131.6310869926874,21.77,26.76,6.0,2.72
ADI,Information Technology,107.36339680984355,15.84,11.56,3.06,3.22
ANSS,Information Technology,138.04592874428087,40.65,28.91,5.06,8.71
ANTM,Health Care,87.50386896467302,13.52,11.11,1.82,0.75
AON,Financials,109.00637735258363,15.15,12.19,1.99,1.82
AOS,Industrials,168.00360425827864,10.27,2.43,1.16,0.25
APA,Energy,128.1909849230316,10.63,30.97,1.93,2.98
AAPL,Information Technology,140.12669919447848,37.82,27.16,8.92,5.63
AMAT,Information Technology,85.57867016696379,12.33,11.04,2.67,2.18
ADM,Consumer Staples,92.06234801835834,16.87,0.0,1.74,0.53
AJG,Financials,136.85084293973858,10.71,7.03,1.97,0.92
AIZ,Financials,60.42635575029208,9.44,5.39,1.46,0.73
T,Communication Services,99.40492937005186,10.21,7.36,1.03,1.02
ATO,Utilities,152.89859642579702,10.01,39.0,0.8,0.27
ADSK,Information Technology,67.1392674029032,33.49,18.41,9.58,5.73
ADP,Information Technology,135.00083366310662,12.9,12.55,2.81,1.83
AZO,Consumer Discretionary,174.44652667904094,12.59,11.12,41.23,1.24
AVB,Real Estate,131.2606954155586,13.15,0.0,1.48,6.37
AVY,Materials,98.68253121690925,12.28,15.24,1.86,0.59
BKR,Energy,67.44626088389668,9.64,27.74,2.29,1.4
BLL,Materials,154.07836483522908,14.74,11.34,3.0,0.56
BAC,Financials,52.17881106023382,10.06,16.71,1.01,1.25
BK,Financials,79.17965959109266,16.78,11.61,1.44,2.37
BAX,Health Care,138.0075694090397,9.43,9.98,2.25,1.43
BDX,Health Care,128.62959721361068,16.78,20.18,3.59,2.61
BRK.B,Financials,91.37324405584336,16.62,30.62,0.0,1.9
BBY,Consumer Discretionary,113.81294767438195,0.0,23.48,4.04,0.43
BIO,Health Care,122.59333180856589,30.3,21.59,2.87,1.93
BIIB,Health Care,123.76194245634066,26.23,22.36,2.8,5.35
BLK,Financials,146.63358683169494,20.74,43.16,1.57,4.24
BA,Industrials,86.68409732166636,12.12,6.25,5.24,0.75
BKNG,Consumer Discretionary,250.41877435841405,34.81,37.32,7.63,3.51
BWA,Consumer Discretionary,92.1482456453175,17.46,16.28,2.14,0.95
BXP,Real Estate,104.22408611897762,5.52,0.0,1.95,4.88
BSX,Health Care,101.91215225164491,0.0,28.77,1.15,2.08
BMY,Health Care,141.99676822407065,15.01,12.31,3.06,2.1
BF.B,Consumer Staples,113.69920792524748,17.21,17.52,3.87,2.81
CHRW,Industrials,148.138636631725,21.91,26.8,6.68,0.97
COG,Energy,143.16319621555357,21.51,0.0,3.39,4.98
CDNS,Information Technology,46.37518845654789,17.01,13.69,2.25,3.14
CPB,Consumer Staples,119.95183105744212,11.69,18.65,6.25,1.32
COF,Financials,113.90710414494745,9.72,1.2,0.58,0.79
CAH,Health Care,105.5804517602739,7.41,19.25,1.53,0.13
KMX,Consumer Discretionary,114.4757227520294,24.86,0.0,3.43,0.62
CCL,Consumer Discretionary,98.79055434558933,10.82,34.8,1.25,2.02
CAT,Industrials,110.78107010437851,9.26,6.16,3.45,0.73
CBRE,Real Estate,82.92696131692485,12.98,9.12,4.39,0.84
CE,Materials,101.3052895581847,14.59,21.75,5.06,0.92
CNC,Health Care,101.55346241224935,16.73,8.29,2.89,0.44
CNP,Utilities,124.85549739435717,8.23,0.0,1.72,0.34
CERN,Health Care,192.4965593271559,34.18,165.77,3.92,3.03
CF,Materials,109.65407143691796,12.96,8.21,4.04,1.75
SCHW,Financials,99.51638613868411,10.86,16.74,6.72,5.34
CVX,Energy,116.29098971674254,6.4,14.41,1.52,0.54
CMG,Consumer Discretionary,78.94246219361403,69.05,764.4,8.58,4.48
CB,Financials,112.4252136557373,5.93,3.21,0.9,1.06
CHD,Consumer Staples,149.32228378134363,18.34,15.32,2.9,1.43
CI,Health Care,86.78088491623895,13.76,13.29,3.13,0.88
CINF,Financials,98.15184697144214,4.73,6.36,0.66,0.95
CTAS,Industrials,119.78120483209386,12.38,13.73,1.85,1.08
CSCO,Information Technology,90.86507816770315,19.48,16.25,4.44,4.28
C,Financials,15.645175897754,33.75,0.0,1.08,0.8
CTXS,Information Technology,144.16746497150567,25.71,16.47,3.01,3.95
CLX,Consumer Staples,131.5740493708197,13.32,10.69,-11.09,1.31
CME,Financials,67.44422425903198,28.39,28.64,1.83,10.15
CMS,Utilities,126.94744883230176,0.0,6.85,1.17,0.39
KO,Consumer Staples,130.15137441577852,15.95,16.65,4.37,3.31
CTSH,Information Technology,175.9160320717331,27.93,60.77,6.36,4.61
CL,Consumer Staples,145.55072216351272,17.87,17.42,12.69,2.25
CMCSA,Communication Services,124.94433002775342,17.4,22.25,1.05,1.46
CMA,Financials,97.40817316426406,7.07,5.82,0.91,1.05
CAG,Consumer Staples,126.07637993340903,8.05,55.18,1.33,0.64
COP,Energy,81.60014857733007,5.94,4.34,0.76,0.37
ED,Utilities,145.99328943853206,7.46,0.0,0.7,0.53
STZ,Consumer Staples,95.67296723097053,16.98,17.1,1.34,1.38
COO,Health Care,88.19671003746235,0.0,0.0,1.28,2.0
CPRT,Industrials,110.29301132778366,24.92,29.29,3.66,5.81
GLW,Information Technology,108.7679815335098,13.59,36.04,3.01,4.98
COST,Consumer Staples,119.97639003158729,20.1,42.66,2.44,0.34
CCI,Real Estate,123.56740043328702,0.0,172.87,2.67,6.64
CSX,Industrials,151.16483813170595,11.43,37.4,1.61,1.55
CMI,Industrials,98.33013922875443,12.77,18.82,2.8,0.72
CVS,Health Care,108.56757742833125,16.4,30.0,1.43,0.55
DHI,Consumer Discretionary,113.36959496593641,0.0,2.21,0.65,0.34
DHR,Health Care,113.29024828040615,15.1,13.9,2.21,1.88
