code,industry,stockratio,initialPE,initialFCF,initialPB,initialDE
MMM,Industrials,122.62,17.03,16.48,6.86,1.87
ABT,Health Care,88.32,13.89,32.92,2.8,0.93
ABBV,Health Care,110.69,15.04,10.97,19.15,12.45
ABMD,Health Care,125.73,31.79,65.06,11.09,0.13
ACN,Information Technology,114.45,20.63,18.87,9.92,1.81
ATVI,Communication Services,94.73,31.19,24.09,3.41,0.89
ADBE,Information Technology,113.24,73.76,34.55,6.5,0.68
AMD,Information Technology,398.03,0.0,0.0,-5.52,-8.49
AAP,Consumer Discretionary,113.36,23.17,23.35,4.42,2.3
AES,Utilities,127.23,18.3,0.0,0.85,4.91
AFL,Financials,119.97,9.08,3.4,1.27,5.68
A,Health Care,117.47,30.24,28.3,2.87,0.79
APD,Materials,123.24,17.78,21.73,3.09,1.3
AKAM,Information Technology,127.63,29.57,27.25,2.99,0.34
ALK,Industrials,112.79,11.35,11.95,3.87,1.71
ALB,Materials,157.35,17.31,43.36,1.71,1.82
ARE,Real Estate,127.85,47.7,0.0,1.33,1.08
ALXN,Health Care,64.61,250.99,105.9,5.2,0.59
ALGN,Health Care,147.06,37.2,29.09,6.17,0.37
ALLE,Industrials,98.52,39.52,27.41,203.07,75.2
LNT,Utilities,126.38,15.81,0.0,1.54,2.18
ALL,Financials,122.61,11.24,6.96,1.08,4.23
GOOGL,Communication Services,102.61,33.94,34.78,4.44,0.23
GOOG,Communication Services,102.45,33.11,33.93,4.33,0.23
MO,Consumer Staples,121.35,16.45,15.4,30.07,9.95
AMZN,Consumer Discretionary,111.76,545.07,43.27,23.79,3.84
AEE,Utilities,126.59,14.59,148.5,1.29,2.34
AAL,Industrials,112.31,3.58,209.14,4.49,7.59
AEP,Utilities,112.73,11.63,101.53,1.34,2.45
AXP,Financials,109.36,12.7,6.84,2.99,6.8
AIG,Financials,108.56,38.15,25.13,0.72,4.51
AMT,Real Estate,112.02,62.34,25.86,5.55,3.01
AWK,Utilities,124.51,20.59,243.76,1.91,2.42
AMP,Financials,108.52,10.98,6.71,1.9,16.35
ABC,Health Care,77.24,59.87,5.91,15.01,22.66
AME,Industrials,92.03,21.12,20.72,3.74,1.05
